博物馆,层次,年参观人次 （万 ）,珍贵文物（套/件 ）,藏品      （套/件 ）,省份,类型
单县民俗博物馆,文物系统国有博物馆,11,0,531,山东省,文化类
南宁市瓯骆遗粹博物馆,非国有博物馆,0,40,303,广西壮族自治区,历史类
山东灵岩石文化创意博物馆,非国有博物馆,2,0,610,山东省,文化类
潍坊市潍城区神农茶文化博物馆,非国有博物馆,1,0,366,山东省,文化类
南通飞响板鹞博物馆,非国有博物馆,0,0,1149,江苏省,文化类
墨子纪念馆,其他行业国有博物馆,5,0,440,山东省,历史类
曲阜市孔府酒文化博物馆,非国有博物馆,0,0,680,山东省,文化类
南通风筝博物馆,非国有博物馆,1,0,437,江苏省,文化类
威海市裕红祥丝绸文化博物馆,非国有博物馆,4,0,380,山东省,文化类
南通蓝印花布博物馆,非国有博物馆,7,134,4996,江苏省,文化类
青岛若七珠宝文化艺术博物馆,非国有博物馆,1,0,398,山东省,文化类
微山县微山湖民俗博物馆,非国有博物馆,0,0,2000,山东省,文化类
南通市富美帽饰博物馆,非国有博物馆,13,0,1048,江苏省,文化类
南通市通州忠孝博物馆,文物系统国有博物馆,3,0,315,江苏省,文化类
南通通有明清家具博物馆,非国有博物馆,1,0,1378,江苏省,文化类
邹平市九扈印记乡村文化博物馆,其他行业国有博物馆,2,0,800,山东省,文化类
济南市莱芜区幸福童年摄影艺术博物馆,非国有博物馆,0,0,1074,山东省,艺术类
单县张集镇乡村民俗博物馆,文物系统国有博物馆,2,0,332,山东省,文化类
无棣县冯安邦纪念馆,文物系统国有博物馆,10,0,496,山东省,历史类
莱州市昭泰面塑艺术博物馆,非国有博物馆,0,0,1214,山东省,艺术类
济南金诃藏医药文化博物馆,非国有博物馆,1,0,310,山东省,文化类
南通通作家具博物馆,非国有博物馆,11,0,323,江苏省,行业类
莱芜战役指挥所旧址纪念馆,文物系统国有博物馆,4,0,72,山东省,历史类
青岛市民俗博物馆,文物系统国有博物馆,8,1,1317,山东省,文化类
高青国井一九一五酒庄博物馆,非国有博物馆,5,0,5748,山东省,行业类
戚继光纪念馆,文物系统国有博物馆,30,5,94,山东省,历史类
南县博物馆（段德昌生平业绩陈列馆）,文物系统国有博物馆,30,101,1260,湖南省,历史类
聊城中国运河文化博物馆,文物系统国有博物馆,11,249,16707,山东省,文化类
南阳市张衡博物馆,文物系统国有博物馆,6,566,1178,河南省,文化类
泰安市吉成泰山天元石文化博物馆,非国有博物馆,0,0,400,山东省,文化类
南阳武侯祠博物馆,文物系统国有博物馆,50,1266,4200,河南省,历史类
泰安市泰山军事博物馆,非国有博物馆,4,0,625,山东省,历史类
博兴京博文化艺术博物馆,非国有博物馆,1,0,3945,山东省,文化类
烟台佳隆艺术博物馆,非国有博物馆,0,0,3000,山东省,艺术类
平度市勇华民俗博物馆,非国有博物馆,1,0,2912,山东省,文化类
南岳衡山博物馆,文物系统国有博物馆,1,382,382,湖南省,文化类
南召县猿人博物馆,文物系统国有博物馆,0,500,1380,河南省,历史类
南郑谷林博物馆,非国有博物馆,0,0,318,陕西省,文化类
临沂支前红嫂文化博物馆,非国有博物馆,1,0,300,山东省,文化类
囊谦县赞普博物馆,非国有博物馆,0,0,634,青海省,历史类
中共青岛党史纪念馆,其他行业国有博物馆,3,0,32,山东省,历史类
梁山柴大官人织绣博物馆,非国有博物馆,6,0,446,山东省,艺术类
金乡县苏家酒文化博物馆,非国有博物馆,2,0,356,山东省,文化类
内蒙古兵团博物馆,文物系统国有博物馆,2,0,336,内蒙古自治区,行业类
临沂市河东区物华民俗博物馆,非国有博物馆,1,0,870,山东省,文化类
日照民俗博物馆,非国有博物馆,0,0,2030,山东省,文化类
商河县中医药文化博物馆,其他行业国有博物馆,0,0,300,山东省,行业类
青州科举文化博物馆,其他行业国有博物馆,0,0,312,山东省,行业类
山亭莲青山民俗博物馆,非国有博物馆,0,0,330,山东省,文化类
济南鲁艺书画装裱艺术博物馆,非国有博物馆,3,0,500,山东省,艺术类
山东自生堂年画雕版博物馆,非国有博物馆,7,0,1049,山东省,艺术类
内蒙古电影博物馆,非国有博物馆,0,0,1000,内蒙古自治区,行业类
内蒙古兴光博物馆,非国有博物馆,3,0,1000,内蒙古自治区,文化类
济宁市兖州区太阳纸文化博物馆,非国有博物馆,0,0,20,山东省,文化类
内蒙古崖柏博物馆,非国有博物馆,0,0,300,内蒙古自治区,文化类
烟台自然博物馆（烟台市城市规划展示馆）,其他行业国有博物馆,15,0,8532,山东省,科技类
新泰市汶河民俗文化博物馆,非国有博物馆,2,0,1138,山东省,文化类
梁山当代书画艺术博物馆,非国有博物馆,4,0,436,山东省,艺术类
山东华夏汽车博物馆,非国有博物馆,0,0,59,山东省,行业类
许昌塔文化博物馆,文物系统国有博物馆,6,4,786,河南省,文化类
新乡市中原石刻艺术博物馆,非国有博物馆,0,0,580,河南省,艺术类
内蒙古羊绒博物馆,非国有博物馆,0,0,300,内蒙古自治区,行业类
范县杨集乡刘家老院民俗博物馆,非国有博物馆,11,0,2214,河南省,文化类
广阔天地大有作为纪念馆,其他行业国有博物馆,1,0,3825,河南省,历史类
内乡县县衙博物馆,文物系统国有博物馆,38,466,1194,河南省,历史类
许昌市建安区杨水才纪念馆,文物系统国有博物馆,6,0,97,河南省,历史类
红二十五军长征出发地纪念馆,文物系统国有博物馆,30,8,106,河南省,历史类
襄城县毛主席绣像博物馆,非国有博物馆,2,0,303,河南省,艺术类
嫩江市墨尔根古道驿站博物馆,文物系统国有博物馆,1,0,1149,黑龙江省,历史类
兰考县焦裕禄纪念馆,文物系统国有博物馆,48,37,1546,河南省,历史类
洛阳市回民中学鸣鹤博物馆,其他行业国有博物馆,1,0,1000,河南省,文化类
鄂豫皖苏维埃政府税务总局旧址纪念馆,其他行业国有博物馆,0,19,19,河南省,历史类
宁波市奉化区布袋弥勒博物馆,非国有博物馆,0,0,2000,浙江省,文化类
宁波市海曙区耕泽石刻博物馆,非国有博物馆,4,0,2300,浙江省,艺术类
宁波市海曙区黄古林草编博物馆,非国有博物馆,0,0,1492,浙江省,文化类
宁波市海曙区婚俗博物馆,非国有博物馆,1,0,1829,浙江省,文化类
宁波市海曙区居家博物园,非国有博物馆,3,0,2000,浙江省,文化类
河南（豫西）抗日根据地纪念馆,其他行业国有博物馆,2,0,未知,河南省,历史类
洛阳保险文化博物馆,非国有博物馆,1,0,419,河南省,文化类
鄂豫皖革命纪念馆,文物系统国有博物馆,49,333,10002,河南省,历史类
宁波市海曙区赵大有宁式糕点博物馆,非国有博物馆,3,0,2272,浙江省,行业类
安阳殷畿艺术博物馆,非国有博物馆,0,0,313,河南省,艺术类
洛阳唐三彩陶艺博物馆,非国有博物馆,4,0,312,河南省,文化类
漯河市德泽陶瓷博物馆,非国有博物馆,10,1,5104,河南省,行业类
宁波市海曙区知青博物馆,非国有博物馆,2,0,1600,浙江省,文化类
宁波市鄞州滨海博物馆,非国有博物馆,0,0,1200,浙江省,文化类
嵩县古陶文化博物馆,非国有博物馆,1,0,320,河南省,文化类
鹿邑县老子历史博物馆,非国有博物馆,50,0,680,河南省,文化类
河南新闻博物馆,其他行业国有博物馆,0,2,4002,河南省,行业类
禹州中医药文化博物馆,文物系统国有博物馆,4,0,210,河南省,文化类
宁波市鄞州区千工甬式家具博物馆,非国有博物馆,3,0,342,浙江省,行业类
周口市关帝庙民俗博物馆,文物系统国有博物馆,42,363,363,河南省,文化类
开封市至和宋代钱币博物馆,非国有博物馆,4,0,311,河南省,行业类
石林会议旧址纪念馆,其他行业国有博物馆,24,0,600,河南省,历史类
共襄润德文化艺术博物馆,非国有博物馆,0,0,301,河南省,文化类
洛阳隋唐大运河文化博物馆,文物系统国有博物馆,50,3,4994,河南省,文化类
宁波市鄞州区雪菜博物馆,非国有博物馆,2,0,1072,浙江省,行业类
宁波市鄞州区甬宝斋锡镴器熨斗博物馆,非国有博物馆,5,0,500,浙江省,文化类
宁波市甬帮宁波菜博物馆,非国有博物馆,2,0,398,浙江省,行业类
光山县王大湾会议会址纪念馆,文物系统国有博物馆,31,31,377,河南省,历史类
郑州市华夏文化艺术博物馆,非国有博物馆,5,178,1520,河南省,文化类
潢川县抗日战争纪念馆,文物系统国有博物馆,0,0,未知,河南省,历史类
安阳市洹宝斋甲骨文文化博物馆,非国有博物馆,1,0,306,河南省,文化类
夏邑县彭雪枫将军纪念馆,其他行业国有博物馆,1,0,未知,河南省,历史类
开封市电子显微镜博物馆,其他行业国有博物馆,0,0,300,河南省,行业类
宁波中国港口博物馆,文物系统国有博物馆,32,119,12557,浙江省,行业类
宁城县辽中京博物馆,文物系统国有博物馆,16,388,12910,内蒙古自治区,历史类
宁海县十里红妆博物馆,非国有博物馆,16,0,1260,浙江省,文化类
清丰县冀鲁豫边区革命根据地旧址纪念馆,文物系统国有博物馆,50,43,2288,河南省,历史类
宛梆戏曲艺术博物馆,文物系统国有博物馆,1,0,1050,河南省,艺术类
洛阳华夏文房文化博物馆,非国有博物馆,1,0,358,河南省,文化类
郑州仁清金石传拓艺术博物馆,非国有博物馆,1,312,1205,河南省,艺术类
八路军渑池兵站纪念馆,文物系统国有博物馆,8,0,143,河南省,历史类
洛阳市瀍河古代艺术品博物馆,非国有博物馆,1,0,308,河南省,艺术类
河南戏曲声音博物馆,其他行业国有博物馆,0,0,3500,河南省,艺术类
开封市大宋皮影博物馆,非国有博物馆,9,0,305,河南省,艺术类
城阳城遗址博物馆,文物系统国有博物馆,0,92,92,河南省,历史类
宁海县行舟致远海事博物馆,非国有博物馆,0,0,317,浙江省,行业类
汝州青瓷博物馆,非国有博物馆,12,0,705,河南省,行业类
宁夏百瑞源枸杞博物馆,非国有博物馆,2,0,600,宁夏回族自治区,行业类
淅川丹江移民民俗博物馆,非国有博物馆,5,0,未知,河南省,文化类
洛阳市伊龙砖雕艺术博物馆,非国有博物馆,0,0,374,河南省,艺术类
宁夏亘古奇石博物馆,非国有博物馆,0,0,300,宁夏回族自治区,文化类
开封市德庄陶瓷博物馆,非国有博物馆,9,0,310,河南省,行业类
宁夏交通博物馆,其他行业国有博物馆,0,3,385,宁夏回族自治区,行业类
宁夏昆虫馆,其他行业国有博物馆,0,0,233000,宁夏回族自治区,科技类
光山县古字画陈列馆,文物系统国有博物馆,13,25,4750,河南省,艺术类
开封市语哲茶文化博物馆,非国有博物馆,8,0,321,河南省,文化类
宁夏奇石馆,非国有博物馆,0,0,5000,宁夏回族自治区,文化类
洛阳石画艺术博物馆,非国有博物馆,0,0,300,河南省,艺术类
宁夏湿地博物馆,其他行业国有博物馆,0,0,392,宁夏回族自治区,科技类
洛阳日记博物馆,其他行业国有博物馆,1,0,6000,河南省,文化类
宁夏水利博物馆,其他行业国有博物馆,12,3,628,宁夏回族自治区,行业类
大宋中医药文化博物馆,其他行业国有博物馆,1,0,280,河南省,行业类
吴焕先故居纪念馆,文物系统国有博物馆,6,2,80,河南省,历史类
宁夏万宝博物馆,非国有博物馆,0,0,3000,宁夏回族自治区,文化类
开封警察博物馆,其他行业国有博物馆,0,33,5479,河南省,行业类
沁阳市朱载堉纪念馆,文物系统国有博物馆,0,1,1,河南省,历史类
正阳县黄叔度纪念馆,文物系统国有博物馆,4,0,34,河南省,历史类
禹州宣和陶瓷博物馆,非国有博物馆,1,0,3191,河南省,行业类
柳林革命纪念馆,文物系统国有博物馆,4,0,95,河南省,历史类
牡丹博物馆,其他行业国有博物馆,7,0,176,河南省,文化类
宁夏无线电博物馆,其他行业国有博物馆,0,0,577,宁夏回族自治区,行业类
洛阳胜利唐白瓷艺术博物馆,非国有博物馆,0,0,310,河南省,艺术类
宁夏移民博物馆,文物系统国有博物馆,2,24,285,宁夏回族自治区,文化类
洛阳古雒斋艺术博物馆,非国有博物馆,0,0,742,河南省,艺术类
宁夏长城博物馆,文物系统国有博物馆,8,6,335,宁夏回族自治区,历史类
宁乡市博物馆（炭河里青铜博物馆）,文物系统国有博物馆,23,186,5309,湖南省,文化类
安阳民俗博物馆,文物系统国有博物馆,12,118,3953,河南省,文化类
商丘市豫东隋唐大运河古陶瓷博物馆,非国有博物馆,2,0,600,河南省,行业类
嵩山地质公园博物馆,其他行业国有博物馆,1,0,686,河南省,科技类
禹州钧官窑址博物馆（河南古陶瓷博物馆、河南钧瓷博物馆）,文物系统国有博物馆,15,322,1582,河南省,行业类
内乡县菊潭古瓷博物馆,非国有博物馆,2,3,504,河南省,行业类
大别山人民检察博物馆,其他行业国有博物馆,0,52,340,河南省,行业类
淮阳平粮台古城遗址博物馆,文物系统国有博物馆,10,0,473,河南省,历史类
八路军驻洛办事处纪念馆,文物系统国有博物馆,20,320,1060,河南省,历史类
郑州城外城陶瓷艺术博物馆,非国有博物馆,5,168,640,河南省,艺术类
光山司马光故居纪念馆,文物系统国有博物馆,12,0,206,河南省,历史类
洛阳老雒阳饮食文化博物馆,非国有博物馆,1,11,623,河南省,文化类
禹州钧瓷文化博物馆,非国有博物馆,15,0,1037,河南省,文化类
岳飞故宅纪念馆,文物系统国有博物馆,0,0,未知,河南省,历史类
洛阳华夏酒文化博物馆,非国有博物馆,1,0,630,河南省,文化类
郑州启原木雕艺术博物馆,非国有博物馆,10,0,491,河南省,艺术类
光山县花山寨会议旧址纪念馆,文物系统国有博物馆,49,0,236,河南省,历史类
陈元光纪念馆,文物系统国有博物馆,1,0,60,河南省,历史类
光山茶具博物馆,文物系统国有博物馆,18,1006,10684,河南省,文化类
郑州大象陶瓷博物馆,非国有博物馆,8,1257,1578,河南省,行业类
攀枝花东区建设人物事迹展览馆,文物系统国有博物馆,0,0,168,四川省,历史类
新密市国辰艺术博物馆,非国有博物馆,1,0,455,河南省,艺术类
登封市革命烈士纪念馆,其他行业国有博物馆,0,0,180,河南省,历史类
商丘淮海战役总前委旧址纪念馆,文物系统国有博物馆,10,0,57,河南省,历史类
新县鄂豫皖革命根据地首府旧址纪念馆,文物系统国有博物馆,32,32,629,河南省,历史类
攀枝花市东区兰尖故事博物馆,其他行业国有博物馆,1,0,315,四川省,文化类
鄂豫边省委革命纪念馆,文物系统国有博物馆,5,11,259,河南省,历史类
开封市宋韵书画艺术博物馆,非国有博物馆,1,0,305,河南省,艺术类
郑州瞻世客家文化博物馆,非国有博物馆,1,144,500,河南省,文化类
攀枝花市仁和区博物馆(苴却砚博物馆）,文物系统国有博物馆,2,0,2000,四川省,文化类
攀枝花市西区初心园三线建设博物馆,文物系统国有博物馆,2,0,495,四川省,历史类
台前县将军渡纪念馆,文物系统国有博物馆,28,9,385,河南省,历史类
攀枝花中国三线建设博物馆（攀枝花市博物馆）,文物系统国有博物馆,17,345,26169,四川省,历史类
洛阳汉林古代珍藏博物馆,非国有博物馆,0,0,5200,河南省,历史类
郑州博金书画艺术博物馆,非国有博物馆,2,0,342,河南省,艺术类
洛阳钟鼎青铜艺术博物馆,非国有博物馆,1,0,344,河南省,艺术类
应天门遗址博物馆,其他行业国有博物馆,38,0,未知,河南省,历史类
郏县八路军豫西抗日纪念馆,其他行业国有博物馆,2,0,290,河南省,历史类
鄂东北道委旧址纪念馆,文物系统国有博物馆,1,0,23,河南省,历史类
息县刘邓大军渡淮纪念馆,文物系统国有博物馆,0,0,144,河南省,历史类
兰考县刘岘纪念馆,文物系统国有博物馆,12,42,210,河南省,历史类
郑州自然博物馆,其他行业国有博物馆,2,48,13454,河南省,科技类
《新洛阳报》旧址纪念馆（洛阳新闻博物馆）,其他行业国有博物馆,0,0,135,河南省,行业类
郑州博物馆古荥汉代冶铁遗址分馆,文物系统国有博物馆,3,15,474,河南省,历史类
郑州瓷源博物馆,非国有博物馆,4,180,538,河南省,行业类
中原杂技博物馆,其他行业国有博物馆,0,0,未知,河南省,行业类
漯河市郾城区许慎纪念馆,文物系统国有博物馆,3,0,未知,河南省,历史类
盘锦辽河房地契博物馆,非国有博物馆,0,0,402,辽宁省,文化类
滑县民俗博物院,文物系统国有博物馆,2,24,1293,河南省,文化类
蓬莱古船博物馆,文物系统国有博物馆,15,54,197,山东省,行业类
鹤壁窑博物馆,文物系统国有博物馆,0,0,未知,河南省,行业类
延津县陈玉成纪念馆,文物系统国有博物馆,2,0,未知,河南省,历史类
汝州市汝瓷博物馆,文物系统国有博物馆,10,1654,1791,河南省,行业类
蓬莱红色记忆陈列馆,非国有博物馆,9,0,3210,山东省,历史类
新县许世友将军纪念馆,文物系统国有博物馆,28,17,172,河南省,历史类
禹州钧瓷窑炉博物馆,非国有博物馆,0,0,821,河南省,行业类
平城记忆馆（大同市博物馆分馆）,文物系统国有博物馆,0,0,319,山西省,历史类
确山竹沟革命纪念馆,文物系统国有博物馆,50,1546,8126,河南省,历史类
平湖玺印篆刻博物馆,非国有博物馆,2,0,930,浙江省,艺术类
洛阳三彩艺术博物馆,非国有博物馆,20,0,403,河南省,艺术类
汤阴县岳飞纪念馆,文物系统国有博物馆,9,0,1425,河南省,历史类
洛阳牡丹瓷博物馆,非国有博物馆,1,0,323,河南省,行业类
平顺县奥治木雕非遗博物馆,非国有博物馆,3,0,528,山西省,艺术类
郏县临沣古寨生态博物馆,其他行业国有博物馆,5,0,20,河南省,文化类
洛阳民俗博物馆,文物系统国有博物馆,30,1200,64180,河南省,文化类
郑州镜像艺术博物馆,非国有博物馆,10,0,301,河南省,艺术类
平顺县北社古典家具博物馆,非国有博物馆,0,0,347,山西省,行业类
确山县临时治安委员会纪念馆,文物系统国有博物馆,5,141,491,河南省,历史类
平武县历史博物馆,文物系统国有博物馆,0,0,50,四川省,历史类
周口华威民俗文化博物苑,非国有博物馆,26,0,10360,河南省,文化类
洛阳市伊龙凡石艺术博物馆,非国有博物馆,0,0,307,河南省,艺术类
漯河市许慎文化博物馆,文物系统国有博物馆,13,0,5906,河南省,文化类
驻马店市杨靖宇烈士纪念馆,其他行业国有博物馆,50,0,1170,河南省,历史类
嵩县嵩州古灯博物馆,非国有博物馆,6,0,624,河南省,艺术类
洛阳上阳宫文化博物馆,非国有博物馆,0,0,256,河南省,文化类
红四方面军将士纪念馆,文物系统国有博物馆,4,583,583,河南省,历史类
新乡县历代石刻艺术博物馆,文物系统国有博物馆,0,22,22,河南省,艺术类
鄂豫皖苏区第一个消费合作社旧址纪念馆,其他行业国有博物馆,4,0,200,河南省,历史类
开封北宋官瓷艺术博物馆,非国有博物馆,2,0,306,河南省,艺术类
河南驼人医学史博物馆,非国有博物馆,13,0,2350,河南省,行业类
新乡市凤泉区诚城诚信博物馆,非国有博物馆,1,0,326,河南省,文化类
镇平县彭雪枫纪念馆,文物系统国有博物馆,20,820,1820,河南省,历史类
洛阳河洛石文化博物馆,非国有博物馆,2,0,331,河南省,文化类
西华县杜岗会师纪念馆,文物系统国有博物馆,10,0,62,河南省,历史类
登封历史博物馆,文物系统国有博物馆,0,0,4580,河南省,历史类
郏县任坚钧瓷艺术博物馆,非国有博物馆,3,0,308,河南省,艺术类
开封市兰生电影艺术博物馆,非国有博物馆,10,0,400,河南省,艺术类
平遥唐都推光漆艺博物馆,非国有博物馆,10,0,318,山西省,艺术类
平遥县票号博物馆,文物系统国有博物馆,49,313,890,山西省,文化类
洛阳洛卫军品博物馆,非国有博物馆,1,0,5200,河南省,历史类
洛阳华夏香山文化艺术博物馆,非国有博物馆,0,0,410,河南省,文化类
红旗渠纪念馆,其他行业国有博物馆,27,0,1123,河南省,历史类
平遥县文涛坊古兵器博物馆,非国有博物馆,5,0,425,山西省,文化类
开封市报纸博物馆,其他行业国有博物馆,0,0,918,河南省,行业类
项城市东芳酒文化博物馆,非国有博物馆,1,0,2353,河南省,文化类
渑池县仰韶文化博物馆,文物系统国有博物馆,11,0,760,河南省,文化类
萍乡博物馆（萍乡孔庙博物馆）,文物系统国有博物馆,23,1086,6029,江西省,历史类
郏县三苏纪念馆,文物系统国有博物馆,8,0,450,河南省,历史类
鄱阳县鲁班木艺博物馆,非国有博物馆,0,0,未知,江西省,艺术类
刘邓大军司令部旧址纪念馆,文物系统国有博物馆,0,0,未知,河南省,历史类
南阳市汉画馆,文物系统国有博物馆,40,1406,2039,河南省,艺术类
郑州市东方翰典文化博物馆,非国有博物馆,0,0,1267,河南省,文化类
桐柏革命纪念馆,文物系统国有博物馆,0,0,1078,河南省,历史类
沁阳曹谨纪念馆,文物系统国有博物馆,1,1,130,河南省,历史类
丁李湾民俗博物馆,文物系统国有博物馆,30,0,39,河南省,文化类
襄城县毛主席视察纪念馆,文物系统国有博物馆,12,0,432,河南省,历史类
淅川县荆紫关镇民俗博物馆,文物系统国有博物馆,0,0,389,河南省,文化类
蒲城县清代考院博物馆,文物系统国有博物馆,11,97,1049,陕西省,历史类
郑州市登封窑陶瓷博物馆,非国有博物馆,4,118,500,河南省,行业类
南阳市张仲景博物馆（南阳市张仲景医史文献馆）,其他行业国有博物馆,12,18,18,河南省,行业类
濮阳市子路博物馆,文物系统国有博物馆,0,0,19,河南省,文化类
焦作雅正历史博物馆,非国有博物馆,0,0,30,河南省,历史类
固始县苏维埃纪念馆,文物系统国有博物馆,3,0,100,河南省,历史类
洛阳华夏金石文化博物馆,非国有博物馆,1,0,465,河南省,文化类
浦江民间工艺博物馆,非国有博物馆,11,0,1108,浙江省,艺术类
河洛古代石刻艺术馆,其他行业国有博物馆,0,182,2338,河南省,艺术类
郑州明月家居艺术博物馆,非国有博物馆,10,0,320,河南省,艺术类
七里坪乡史馆,文物系统国有博物馆,0,0,100,四川省,历史类
商城县革命纪念馆,文物系统国有博物馆,7,285,739,河南省,历史类
郑州市天中艺术博物馆,非国有博物馆,1,65,306,河南省,艺术类
东方红农耕博物馆,其他行业国有博物馆,30,0,211,河南省,行业类
平舆县挚都民俗文化博物馆,非国有博物馆,11,0,400,河南省,文化类
刘少奇在开封陈列馆,其他行业国有博物馆,1,0,163,河南省,历史类
光山县邓颖超祖居纪念馆,文物系统国有博物馆,18,24,375,河南省,历史类
郑州大信厨房博物馆,非国有博物馆,10,242,2069,河南省,行业类
二里头夏都遗址博物馆,文物系统国有博物馆,45,5,1563,河南省,历史类
高敬亭故居纪念馆,文物系统国有博物馆,3,0,52,河南省,历史类
祁县雨楼家俬博物馆,非国有博物馆,0,0,1200,山西省,文化类
齐齐哈尔市红太阳博物馆,非国有博物馆,1,0,3000,黑龙江省,文化类
宝丰汝窑博物馆,文物系统国有博物馆,6,505,22300,河南省,行业类
齐齐哈尔市阳光相机收藏博物馆,非国有博物馆,0,0,420,黑龙江省,行业类
新县鄂豫皖苏区烈士纪念馆,其他行业国有博物馆,29,155,155,河南省,历史类
新郑市郑国车马坑遗址博物馆,文物系统国有博物馆,12,81,88,河南省,历史类
项城市德高民俗博物馆,非国有博物馆,3,0,535,河南省,文化类
长垣市烹饪文化博物馆,文物系统国有博物馆,7,0,662,河南省,文化类
岐山县五丈原诸葛亮庙博物馆,文物系统国有博物馆,4,0,未知,陕西省,历史类
郑州聚瓷博物馆,非国有博物馆,9,407,797,河南省,行业类
新乡市郭峰中医药博物馆,非国有博物馆,2,0,998,河南省,行业类
漯河中州抗战纪念馆,非国有博物馆,6,1,1511,河南省,历史类
郑州红木文化博物馆,非国有博物馆,6,0,316,河南省,文化类
岐山县周原博物馆,文物系统国有博物馆,0,352,1518,陕西省,文化类
河南省鹿邑县长军古陶瓷博物馆,非国有博物馆,3,560,560,河南省,历史类
开封市常明古灯博物馆,非国有博物馆,22,0,360,河南省,艺术类
毛主席纪念馆,其他行业国有博物馆,0,0,170,河南省,历史类
潜江市曹禺祖居博物馆,文物系统国有博物馆,5,0,493,湖北省,历史类
开封市刘青霞故居纪念馆,文物系统国有博物馆,1,0,52,河南省,历史类
新乡市老城民俗博物馆,非国有博物馆,0,0,1080,河南省,文化类
漯河粮源农耕文化博物馆,非国有博物馆,0,0,500,河南省,文化类
许昌铃铛文化博物馆,非国有博物馆,1,0,317,河南省,文化类
许昌金雨古陶瓷博物馆,非国有博物馆,1,0,316,河南省,行业类
开封市包公司法文化博物馆,其他行业国有博物馆,20,0,133,河南省,行业类
遂平县豫中抗日根据地旧址纪念馆,文物系统国有博物馆,8,0,72,河南省,历史类
淮海战役陈官庄纪念馆,其他行业国有博物馆,3,38,83,河南省,历史类
光山县佛教艺术博物馆,文物系统国有博物馆,33,71,6200,河南省,艺术类
洛阳警察博物馆,其他行业国有博物馆,0,61,1760,河南省,行业类
粮食博物馆,其他行业国有博物馆,7,0,467300,河南省,行业类
洛阳志成酒器博物馆,非国有博物馆,1,0,1225,河南省,行业类
南阳唐王府博物馆,非国有博物馆,38,0,434,河南省,历史类
淮河源文化陈列馆,其他行业国有博物馆,20,13,230,河南省,文化类
开封市素花宋绣博物馆,非国有博物馆,1,0,312,河南省,艺术类
河南自然博物馆,其他行业国有博物馆,36,0,27627,河南省,科技类
陈星聚纪念馆,文物系统国有博物馆,10,0,未知,河南省,历史类
洛阳华夏喜庆文化博物馆,非国有博物馆,0,0,369,河南省,文化类
新乡市赵林陶瓷博物馆,非国有博物馆,0,0,360,河南省,行业类
安阳市天保陶瓷博物馆,非国有博物馆,2,0,335,河南省,行业类
黔东南州苗妹非遗博物馆,非国有博物馆,0,0,872,贵州省,文化类
新乡市潞简王墓博物馆,文物系统国有博物馆,7,0,未知,河南省,历史类
南阳知府衙门博物馆,文物系统国有博物馆,13,0,135,河南省,历史类
郑州二七纪念馆,文物系统国有博物馆,17,1316,4329,河南省,历史类
箭厂河革命纪念馆,文物系统国有博物馆,8,8,64,河南省,历史类
宝丰县中原解放纪念馆,文物系统国有博物馆,1,83,683,河南省,历史类
开封市盛泉民国钱币博物馆,非国有博物馆,1,0,375,河南省,行业类
洛阳周王城天子驾六博物馆,文物系统国有博物馆,7,61,70,河南省,历史类
商水县叶氏庄园民俗博物馆,文物系统国有博物馆,4,0,1240,河南省,文化类
冀鲁豫边区颜村铺革命旧址纪念馆,文物系统国有博物馆,15,0,127,河南省,历史类
秦都厚天博物馆,非国有博物馆,8,0,860,陕西省,文化类
内黄县三杨庄遗址博物馆,文物系统国有博物馆,1,10,29,河南省,历史类
秦汉新城红色记忆博物馆,非国有博物馆,1,0,10000,陕西省,历史类
秦汉新城唐风博物馆,非国有博物馆,0,0,700,陕西省,历史类
中共洛阳组诞生地纪念馆,其他行业国有博物馆,7,0,352,河南省,历史类
秦皇岛市玻璃博物馆,文物系统国有博物馆,3,39,1544,河北省,行业类
沁县南涅水石刻博物馆,文物系统国有博物馆,3,510,1124,山西省,艺术类
洛阳古墓博物馆（河南古代壁画馆）,文物系统国有博物馆,7,332,1795,河南省,历史类
开封市艺术博物馆,文物系统国有博物馆,2,0,未知,河南省,艺术类
郸城中原民俗博物馆,文物系统国有博物馆,4,21,975,河南省,文化类
舞阳民俗文化博物馆,非国有博物馆,0,0,1180,河南省,文化类
洛阳汉画艺术博物馆,非国有博物馆,1,0,315,河南省,艺术类
开封市仁俊酒文化博物馆,非国有博物馆,0,0,301,河南省,文化类
洛阳老龙门农家博物馆,非国有博物馆,1,0,994,河南省,行业类
洛阳无篱园石雕艺术博物馆,非国有博物馆,2,0,504,河南省,艺术类
桐丘古陶瓷博物馆,非国有博物馆,6,794,794,河南省,行业类
尉氏刘青霞纪念馆,文物系统国有博物馆,3,1082,2406,河南省,历史类
栾川县常氏石刻艺术博物馆,文物系统国有博物馆,0,36,36,河南省,艺术类
开封市建森建筑艺术博物馆,非国有博物馆,12,0,303,河南省,艺术类
洛阳市铁军博物馆,非国有博物馆,0,0,300,河南省,历史类
郑州市丝路文化博物馆,非国有博物馆,1,0,1117,河南省,文化类
青川县地震博物馆,其他行业国有博物馆,21,12,2814,四川省,历史类
开封市小张打铁博物馆,非国有博物馆,10,0,300,河南省,行业类
柴山保革命纪念馆,文物系统国有博物馆,2,0,未知,河南省,历史类
青岛爱在古毯博物馆,非国有博物馆,2,0,306,山东省,行业类
