附件2-平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-序号-序号-序号-序号,附件2-平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目名称-项目名称-项目名称-项目名称,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设性质（新建或续建）-建设性质（新建或续建）-建设性质（新建或续建）-建设性质（新建或续建）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设起止年限-建设起止年限-建设起止年限-建设起止年限,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设内容与规模-建设内容与规模-建设内容与规模-建设内容与规模,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-投资估算（万元）-投资估算（万元）-投资估算（万元）-投资估算（万元）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-筹资方式（资金来源）-筹资方式（资金来源）-筹资方式（资金来源）-筹资方式（资金来源）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-项目效益情况-项目效益情况-项目效益情况,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-利益联结机制（联农带农机制）-利益联结机制（联农带农机制）-利益联结机制（联农带农机制）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益村数（个）-受益村数（个）-脱贫村,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益村数（个）-受益村数（个）-其他村,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-小计,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-脱贫户（含监测对象）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-其他农户,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-小计,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-脱贫人口数（含监测对象）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-其他人口数,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目主管单位-项目主管单位-项目主管单位-项目主管单位,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目实施单位-项目实施单位-项目实施单位-项目实施单位,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-入库时间-入库时间-入库时间-入库时间,备注-备注-备注-备注
3,宝积镇黑水村金家窑小流域治理项目,新建,2025.3-2025.10,黑水村,建设护坡上宽1米，下宽2米，高度2米，长0.2公里。,100,"衔接
资金",保护群众生命财产安全。,,,1,0,0,0,0,0,0,水务局,宝积镇,2024,
4,"宝积镇魏家地村护坡建设
项目",新建,2025.3-2025.10,"魏家
地村","砌筑石墙护坡长150米,高1.5米，宽2米。",40,"衔接
资金",保护群众生命财产安全。,,,1,0,0,0,0,0,0,水务局,宝积镇,2024,
5,市级和美乡村奖补项目,新建,2025.3-2025.10,大湾村,宝积镇大湾村和美乡村奖补项目。,10,"衔接
资金",建设和美乡村，改善群众生产生活条件。,,,1,0,0,0,0,0,0,"农业
农村局",宝积镇,2024,
6,"共和镇常崖村河道护坡治
理工程",新建,2025.3-2025.10,常崖村,建设护坡1.0公里，高2.5米，下底1.0米，上底0.40米。,120,"衔接
资金",项目实施有利于保护基本农田近600亩，涉及全村灌溉用地。保障农户农业收益稳定。,,1,,0,0,0,0,0,0,水务局,共和镇,2024,
7,共和镇毛卜拉村乡村振兴晾晒场建设项目,新建,2025.3-2025.10,毛卜拉,建设晾晒场5个，每个2000平米，场地硬化，厚度15cm水泥混凝土面层。,120,"衔接
资金",解决村民粮食晾晒问题，避免不受潮，减少损失。,,,1,0,0,0,0,0,0,"农业
农村局",共和镇,2024,
8,共和镇小水村农贸市场建设项目,新建,2025.3-2025.10,小水村,场地硬化1863m²，管理房60m²，彩钢大棚630m²。,94,"衔接
资金",建设农贸市场使得农产品能够快捷地从生产者流向消费者，减少中间环节，降低流通成本，增加农户收入。,,,1,0,0,0,0,0,0,"农业
农村局",共和镇,2024,
9,"种田乡种田村排洪渠硬化
项目",新建,2025.3-2025.10,种田村,排水渠73.6m，拦沙坎15m，护坡修复15.6m，拦水坝及跌水修复2座，过水路面284m，新建护坡358m,70,"衔接
资金",确保群众生命财产安全问题。,,,1,0,0,0,0,0,0,水务局,种田乡,2024,
10,"种田乡小川村排洪渠治理
项目",新建,2025.3-2025.10,小川村,清淤治理小川村排洪渠3300米,35,"衔接
资金",确保群众生命财产安全问题。,,,1,0,0,0,0,0,0,水务局,种田乡,2024,
11,种田乡拉排村芦子水沟安全防护网维修改造项目,新建,2025.3-2025.10,拉排村,维修安装芦子水沟水坝防护网1000米,20,"衔接
资金",加强水沟水坝安全防护措施，确保群众财产生命安全。,,1,,0,0,0,0,0,0,水务局,种田乡,2024,
㈡,人居环境整治,,,,,741,,,,,,,,,,,,,,,
1,"垃圾收转运费用及保洁员
工资",新建,2025.3-2025.10,各乡镇,"1.水泉镇160.56：其中租用收集车辆费86.4万元、保洁员工资74.16万元；2.复兴乡43.02万元：其中租用收集车辆费10.8万元、装卸费1.8万元、转运费4.5万元、保洁员工资25.92万元；3.种田乡40.86万元;其中租用收集车辆费10.8万元、装卸费1.8万元、转运费4.5万元、保洁员工资23.76万元；4.黄峤镇66.72万元：其中租用收集车辆费21.6万元、装卸费7.2万元、转运费12万元、保洁员工资25.92万元；5.共和镇84.72万元：其中租用收集车辆费32.4万元、装卸费7.2万元、垃圾转运费12万元、保洁员工资33.12万元；6.王家山镇60.24万元：其中租用收集车辆费21.6万元、装卸费7.2万元、转运费12万元、保洁员工资19.44万元；7.宝积镇79.2万元：其中租用收集车辆费54万元、保洁员工资25.2万元。
2.对全区61个村、35家农药经营户回收的农药包装废弃物运输费用进行补贴。",540,"衔接
资金",解决垃圾运输问题，使村庄人居环境美丽整洁。,,15,46,4,1,2,10,2,8,住建局,各乡镇,2024,
2,水泉镇后挂桶自装卸式垃圾车购置项目,新建,2025.3-2025.10,水泉镇,14方后挂桶自装卸式垃圾车4辆,140,"衔接
资金",改善人居环境,,,1,0,0,0,0,0,0,住建局,水泉镇,2024,
3,种田乡垃圾储备中转项目,新建,2025.3-2025.10,五星村,垃圾处理场硬化800m²，中转站240m²，压缩车一台,63,"衔接
资金",提高全乡垃圾处理能力，改善群众生活条件。,,1,5,0,0,0,1,0,1,住建局,种田乡,2024,
四,"易地搬迁后
续扶持",,,,,700,,,,,,,,,,,,,,,
1,易地扶贫搬迁贷款贴息,新建,2025.3-2025.12,"农业
农村局",易地扶贫搬迁贷款贴息。,200,"衔接
资金",改善贫困群众居住条件，提高生活质量。,,1,3,0,0,,,0,,"农业
农村局","农业
农村局",2024,
2,复兴乡汉口村标准化肉羊养殖场建设项目,新建,2025.3-2025.10,复兴乡,新建集中养殖小区一个，占地30亩，计划建设圈舍8座，每座长60米，宽20米，划分为120个80平圈舍。配套建设草料棚、蓄水池等设施，项目建成后，分配给搬迁小区农户发展养殖，满足群众养殖需求，增加搬迁后收入。,188,"衔接
资金",项目建设完成后完善了搬迁点后续产业发展，引导群众通过养殖增加收入.,预计将解决10余人的就业岗位，提高群众月收入1500元以上。同时通过场地租赁，增加村集体收入。,5,2,0,0,0,0,0,0,"农业
农村局",复兴乡,2024,巩固一批
3,复兴乡地灾搬迁安置点人居环境整治车辆采购项目,新建,2025.3-2025.10,汉口村,复兴小区内配置铲车1辆、三轮车1辆、垃圾收运车1辆。,40,"衔接
资金",完善搬迁点环境卫生整治配套设施，提升群众生活水平。,,5,2,0,0,0,0,0,0,发改局环保局,复兴乡,2024,
4,复兴小区排洪渠建设项目,新建,2025.3-2025.10,汉口村,衬砌渠道704米。,12,"衔接
资金",有效解决因降雨造成小区南侧路面及碱河沟坡体被冲毁的风险，增强搬迁小区安全感。,,2,,0,0,0,0,0,0,发改局,复兴乡,2024,
五,其他,,,,,225,,,,,,,,,,,,,,,
1,项目管理费,新建,2025.3-2025.12,"农业
农村局",主要用于项目的调研、论证、评审、监理、验收、成果宣传、资料印刷、档案整理等与项目管理相关的支出。,130,"衔接
资金",提高项目管理水平。,,,,,,,,,,"农业
农村局","农业
农村局",2024,
2,驻村工作队补贴及保险,新建,2025.3-2025.12,"农业
农村局",15个脱贫村、1个易地搬迁安置点派驻驻村帮扶工作队队员补贴及区直单位派驻的43名驻村工作队员购买意外伤害险。,64,"衔接
资金",解决驻村队员补贴难问题。,,,,,,,,,,"农业
农村局","农业
农村局",2024,
3,全区乡村振兴干部能力提升培训,新建,2025.3-2025.12,"农业
农村局",对乡镇分管领导、业务人员、61个村党组织书记、23个驻村工作队进行培训。,16,"衔接
资金",通过培训，提升培训人员乡村振兴能力，巩固脱贫攻坚成果。,,,,,,,,,,"农业
农村局","农业
农村局",2024,
4,“防返保”保险,新建,2025.3-2025.12,"农业
农村局",为三类监测户购买“防返保”保险费。,12,"衔接
资金",防止返贫，巩固脱贫攻坚成果。,,,15,46,0,0,,0,0,"农业
农村局","农业
农村局",2024,
5,驻村帮扶工作队经费,新建,2025.3-2025.12,"农业
农村局",15个脱贫村驻村工作队及1个移民安置点经费补助资金各2000元。,3,"衔接
资金",解决驻村工作队工作经费不足的问题。,,,,,,,,,,"农业
农村局","农业
农村局",2024,
