本周KPI直接ROI2.4，客户素材要参考的话可以找我扒-素材ID,素材标题,素材创建时间,素材时长,素材来源,消耗,展示次数,点击率,平均千次展现费用,点击次数,转化数,转化成本,转化率,直接成交订单数,直接成交金额,直接支付ROI,播放数,有效播放数,平均单次播放时长,分享次数,评论次数,点赞次数,关联计划数,关联创意数
7376944303888154674,6.3-博观图文-素人-小黛伞1020-可视化效品口播-618-李大鑫.mp4,2024-06-05 17:12:06,00:18,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7381311608532336703,6.14-博观图文-素人-防晒粉饼+气垫组合套装1051-可视化效品口播-618-王梦园.mp4,2024-06-17 11:39:45,00:26,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7374305487658418195,6180523图文广告超光速阿会玉养气垫防晒粉饼效果混剪粉饼都快用完,2024-05-29 14:32:30,00:27,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7316813480744501275,12.26-博观图文-素人-玉养蜜粉640-可视化效品口播-无-陈奕璠.mp4,2023-12-26 16:13:33,00:20,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7351726587735408649,0329万家拍摄茄子小谢唇膜效果一个视频告诉你,2024-03-29 18:14:11,00:34,巨量纵横共享素材,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7371102421823717414,5.13-博观图文-素人-小黛伞966-可视化效品口播-无-李大鑫.mp4,2024-05-20 23:22:47,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7381375414533554185,618授权截止至20255230617图文茄子凡人玉养气垫防晒粉饼午郡营销产品最近很火的花西子玉养气垫和防晒粉饼,2024-06-17 15:47:24,00:27,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7355412712052310042,短视频带货阿会心心小黛伞雪梅我重生了成片,2024-04-08 16:38:21,00:27,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7333467871439372339,1.29-博观图文-素人-玉养蜜粉741-可视化效品口播-无-陈奕璠.mp4,2024-02-09 13:21:30,00:26,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7373952889121210378,5.27-博观图文-素人-唇膜995-可视化效品口播-618-蔡宇文.mp4,2024-05-28 15:43:46,00:26,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7362139018269736970,0426图文茄子凡人小黛伞产品向女人不一定要穿的高贵,2024-04-26 19:39:44,00:30,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7371704808224702527,5.20-博观图文-素人-眉粉笔976-可视化效品口播-618-陈奕璠.mp4,2024-05-22 14:20:16,00:19,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
7373988794166968361,5.27-博观图文-素人-小黛伞1008-可视化效品口播-无-李大鑫.mp4,2024-05-28 18:03:13,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7368815566675755059,618授权至2408060514图文茄子超光速玉养气垫防晒粉饼午郡营销产品气垫快用完了吧,2024-05-14 19:28:37,00:28,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11
7381404434024759305,专为夏天定制的气垫，#遮瑕  #持妆  稳稳拿捏，轻松get夏日清透奶油肌#花西子玉养气垫 #底妆,2024-06-17 17:40:03,00:26,抖音号主页视频,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7381418200292491290,6.17-博观图文-素人-防晒粉饼+气垫组合套装1063-可视化效品口播-无-王梦园.mp4,2024-06-17 18:32:58,00:31,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7371704824498765843,5.20-博观图文-素人-防晒粉饼981-可视化效品口播-无-马倩.mp4,2024-05-22 14:20:16,00:20,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7380284961838940169,6180531图文广告超光速阿会玉养气垫防晒粉饼效果混剪花西子你是懂618的,2024-06-14 17:15:42,00:18,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11
7374747904797474843,618529图文气垫小盐阿会玉养气垫玉养蜜粉饼产品向就这个玉养全家福,2024-05-30 19:08:45,00:25,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
7348017936491233343,3.19-博观图文-素人-小黛伞854-可视化效品口播-无-李大鑫.mp4,2024-03-19 18:23:11,00:19,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7371705841382817802,5.21-博观图文-素人-小黛伞984-可视化效品口播-无-李大鑫.mp4,2024-05-22 14:24:13,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7369944454457344010,6180517图文茄子超光速玉养气垫防晒粉饼效果今年花西子,2024-05-17 20:28:58,00:25,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
7371705863695794185,5.21-博观图文-素人-小黛伞986-可视化效品口播-无-李大鑫.mp4,2024-05-22 14:24:13,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7374665840597663782,6180510图文营销产品向超光速云舒气垫蜜粉饼效果混剪花西子你是,2024-05-30 13:50:22,00:30,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
7371704737559068699,0516图文授权至2464广告两佰山茶乌苏达人多人气垫防晒粉饼营销618我很少用震撼,2024-05-22 14:19:58,00:28,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7348017962630037540,3.19-博观图文-素人-小黛伞853-可视化效品口播-无-李大鑫.mp4,2024-03-19 18:23:11,00:21,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7278577275846033420,0913-博观图文-素人-玉养蜜粉378-可视化效品口播-无-王依然.mp4,2023-09-14 15:17:55,00:16,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7371356045619642405,6180517图文广告超光速阿会玉养气垫防晒粉饼效果混剪一年只有,2024-05-21 15:46:56,00:18,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
7371392790528507941,0517图文广告超光速阿会玉养气垫防晒粉饼效果混剪不是,2024-05-21 18:09:26,00:16,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
7368400076161695753,618矩阵礼物0513图图大财钱来拍摄小黛伞35ml618买真的便宜,2024-05-13 16:35:59,00:23,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
7316804844227395625,12.25-博观图文-素人-玉养气垫629-可视化效品口播-无-王梦园.mp4,2023-12-26 15:40:33,00:19,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7316815735029137444,12.26-博观图文-素人-玉养蜜粉643-可视化效品口播-无-陈奕璠.mp4,2023-12-26 16:22:30,00:19,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7371704829124722727,5.20-博观图文-素人-眉粉笔977-可视化效品口播-618-陈奕璠.mp4,2024-05-22 14:20:16,00:30,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7359402845277929498,0419矩阵礼物扬趣图图混剪多人小黛伞如何做的只花防晒的钱,2024-04-19 10:42:03,00:24,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7270102310411845669,0822-博观图文-素人-玉养蜜粉188-可视化效品口播-无-蔡宇文.mp4,2023-08-22 19:11:10,00:23,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7381311567537635364,6.14-博观图文-素人-防晒粉饼+气垫组合套装1053-可视化效品口播-618-王梦园.mp4,2024-06-17 11:39:46,00:30,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7311631388410347571,1208-官号图文-茄子-小黛伞-宝华-产品-混剪-虽然花西子小黛伞.mp4,2023-12-12 17:04:44,00:20,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7278191990746431527,0911-博观图文-素人-玉养蜜粉369-可视化效品口播-无-蔡宇文.mp4,2023-09-13 14:22:53,00:25,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7270101262523367436,0822-博观图文-素人-玉养蜜粉187-可视化效品口播-无-蔡宇文.mp4,2023-08-22 19:06:51,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
7309771269113233459,12.6-博观图文-素人-玉养蜜粉583-可视化效品口播-无-陈奕璠.mp4,2023-12-07 16:46:31,00:17,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7288631150649622583,1008-博观图文-素人-玉养气垫465-可视化效品口播-无-王依然.mp4,2023-10-11 17:32:04,00:28,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7314870136052547593,1215官号图文茄子旧版唇膜产品混剪嘴皮子干的,2023-12-21 10:32:28,00:26,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7366135696652582975,5.6-博观图文-素人-小黛伞948-可视化效品口播-无-李大鑫.mp4,2024-05-07 14:09:20,00:24,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7349131833991004210,0322图文茄子旧版唇膜效果你要问我今年流行,2024-03-22 18:25:21,00:23,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7343129351523221545,3.4-博观图文-素人-小黛伞816-可视化效品口播-无-李大鑫.mp4,2024-03-06 14:12:58,00:22,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7284161209360171069,0922-博观图文-素人-玉养蜜粉429-可视化效品口播-无-王梦园.mp4,2023-09-29 16:27:04,00:25,本地上传,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7350617143871209523,0326图文凡人茄子小黛伞产品向这个是我出门前,2024-03-26 18:29:16,00:23,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7356911131112259593,0409图文凡人阿会唇膜产品向你可以没有口红,2024-04-12 17:33:00,00:17,巨量纵横共享素材,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
