5-3全国分年龄、性别、受教育程度、婚姻状况的人口-受教育程度-年龄,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-合计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-15岁及以上人口-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-未婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-有配偶-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-离婚-女,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-小计,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-男,5-3全国分年龄、性别、受教育程度、婚姻状况的人口-单位：人-丧偶-女
35-39岁,1840131.0,988433.0,851698.0,126030.0,88020.0,38010.0,1633636.0,859527.0,774109.0,76828.0,40058.0,36770.0,3637.0,828.0,2809.0
35,366774.0,197749.0,169025.0,33016.0,23585.0,9431.0,319245.0,166656.0,152589.0,13972.0,7372.0,6600.0,541.0,136.0,405.0
36,355014.0,190916.0,164098.0,27173.0,19287.0,7886.0,313125.0,164091.0,149034.0,14122.0,7405.0,6717.0,594.0,133.0,461.0
37,347631.0,186981.0,160650.0,23535.0,16301.0,7234.0,308879.0,162815.0,146064.0,14590.0,7716.0,6874.0,627.0,149.0,478.0
38,408228.0,218410.0,189818.0,23866.0,16311.0,7555.0,365356.0,192528.0,172828.0,18089.0,9372.0,8717.0,917.0,199.0,718.0
39,362484.0,194377.0,168107.0,18440.0,12536.0,5904.0,327031.0,173437.0,153594.0,16055.0,8193.0,7862.0,958.0,211.0,747.0
,,,,,,,,,,,,,,,
40-44岁,1679008.0,908225.0,770783.0,61096.0,40677.0,20419.0,1528754.0,825448.0,703306.0,82216.0,40544.0,41672.0,6942.0,1556.0,5386.0
40,333932.0,179919.0,154013.0,15129.0,10184.0,4945.0,302644.0,161775.0,140869.0,15174.0,7738.0,7436.0,985.0,222.0,763.0
41,366826.0,198021.0,168805.0,13990.0,9442.0,4548.0,333945.0,179420.0,154525.0,17533.0,8859.0,8674.0,1358.0,300.0,1058.0
42,338102.0,182530.0,155572.0,11829.0,7803.0,4026.0,308377.0,166305.0,142072.0,16545.0,8149.0,8396.0,1351.0,273.0,1078.0
43,310259.0,168059.0,142200.0,10210.0,6701.0,3509.0,282549.0,153248.0,129301.0,16035.0,7765.0,8270.0,1465.0,345.0,1120.0
44,329889.0,179696.0,150193.0,9938.0,6547.0,3391.0,301239.0,164700.0,136539.0,16929.0,8033.0,8896.0,1783.0,416.0,1367.0
,,,,,,,,,,,,,,,
45-49岁,1716633.0,949022.0,767611.0,43936.0,29175.0,14761.0,1567898.0,874014.0,693884.0,90981.0,42751.0,48230.0,13818.0,3082.0,10736.0
45,324501.0,177146.0,147355.0,9388.0,6220.0,3168.0,296196.0,162509.0,133687.0,16999.0,8013.0,8986.0,1918.0,404.0,1514.0
46,340679.0,187084.0,153595.0,9107.0,5993.0,3114.0,311425.0,172126.0,139299.0,17763.0,8452.0,9311.0,2384.0,513.0,1871.0
47,350761.0,193572.0,157189.0,9083.0,5952.0,3131.0,320240.0,178299.0,141941.0,18660.0,8688.0,9972.0,2778.0,633.0,2145.0
48,349792.0,194566.0,155226.0,8282.0,5534.0,2748.0,319491.0,179400.0,140091.0,18837.0,8920.0,9917.0,3182.0,712.0,2470.0
49,350900.0,196654.0,154246.0,8076.0,5476.0,2600.0,320546.0,181680.0,138866.0,18722.0,8678.0,10044.0,3556.0,820.0,2736.0
,,,,,,,,,,,,,,,
50-54岁,1495500.0,839681.0,655819.0,25226.0,17199.0,8027.0,1368077.0,781020.0,587057.0,77086.0,35166.0,41920.0,25111.0,6296.0,18815.0
50,358977.0,200370.0,158607.0,7351.0,4960.0,2391.0,327942.0,185617.0,142325.0,19321.0,8759.0,10562.0,4363.0,1034.0,3329.0
51,313846.0,175313.0,138533.0,5534.0,3831.0,1703.0,286570.0,162555.0,124015.0,17088.0,7791.0,9297.0,4654.0,1136.0,3518.0
52,319623.0,179409.0,140214.0,5277.0,3560.0,1717.0,292344.0,166903.0,125441.0,16664.0,7621.0,9043.0,5338.0,1325.0,4013.0
53,234869.0,132807.0,102062.0,3490.0,2384.0,1106.0,215381.0,123993.0,91388.0,11337.0,5196.0,6141.0,4661.0,1234.0,3427.0
54,268185.0,151782.0,116403.0,3574.0,2464.0,1110.0,245840.0,141952.0,103888.0,12676.0,5799.0,6877.0,6095.0,1567.0,4528.0
,,,,,,,,,,,,,,,
55-59岁,1655206.0,920904.0,734302.0,17114.0,11979.0,5135.0,1510791.0,862289.0,648502.0,74307.0,32896.0,41411.0,52994.0,13740.0,39254.0
55,294972.0,165747.0,129225.0,3427.0,2376.0,1051.0,270178.0,155177.0,115001.0,13866.0,6251.0,7615.0,7501.0,1943.0,5558.0
56,336189.0,186973.0,149216.0,3748.0,2631.0,1117.0,307137.0,174984.0,132153.0,15784.0,6943.0,8841.0,9520.0,2415.0,7105.0
57,452250.0,249783.0,202467.0,4559.0,3171.0,1388.0,412656.0,233925.0,178731.0,20538.0,8955.0,11583.0,14497.0,3732.0,10765.0
58,354289.0,199094.0,155195.0,3272.0,2321.0,951.0,323703.0,186907.0,136796.0,14702.0,6536.0,8166.0,12612.0,3330.0,9282.0
59,217506.0,119307.0,98199.0,2108.0,1480.0,628.0,197117.0,111296.0,85821.0,9417.0,4211.0,5206.0,8864.0,2320.0,6544.0
,,,,,,,,,,,,,,,
60-64岁,1253595.0,714677.0,538918.0,9321.0,6602.0,2719.0,1132994.0,667035.0,465959.0,44036.0,20331.0,23705.0,67244.0,20709.0,46535.0
60,271997.0,151248.0,120749.0,2196.0,1562.0,634.0,246080.0,141128.0,104952.0,11218.0,5112.0,6106.0,12503.0,3446.0,9057.0
61,237958.0,134864.0,103094.0,1893.0,1356.0,537.0,215260.0,125755.0,89505.0,8763.0,4147.0,4616.0,12042.0,3606.0,8436.0
62,268376.0,153152.0,115224.0,1920.0,1356.0,564.0,242546.0,143017.0,99529.0,9377.0,4331.0,5046.0,14533.0,4448.0,10085.0
63,264429.0,152830.0,111599.0,1858.0,1327.0,531.0,239111.0,142741.0,96370.0,8437.0,3894.0,4543.0,15023.0,4868.0,10155.0
64,210835.0,122583.0,88252.0,1454.0,1001.0,453.0,189997.0,114394.0,75603.0,6241.0,2847.0,3394.0,13143.0,4341.0,8802.0
,,,,,,,,,,,,,,,
65岁及以上,1361046.0,833011.0,528035.0,8169.0,5422.0,2747.0,1127294.0,737363.0,389931.0,23059.0,11247.0,11812.0,202524.0,78979.0,123545.0
,,,,,,,,,,,,,,,
大学专科,11596423.0,6076626.0,5519797.0,4116204.0,2218381.0,1897823.0,7124327.0,3716216.0,3408111.0,264370.0,110224.0,154146.0,91522.0,31805.0,59717.0
,,,,,,,,,,,,,,,
15-19岁,934417.0,472726.0,461691.0,932922.0,472313.0,460609.0,1479.0,410.0,1069.0,13.0,3.0,10.0,3.0,0.0,3.0
15,22070.0,11787.0,10283.0,22063.0,11785.0,10278.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16,47900.0,25461.0,22439.0,47872.0,25447.0,22425.0,27.0,14.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0
17,97222.0,49697.0,47525.0,97129.0,49670.0,47459.0,93.0,27.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
18,299643.0,152207.0,147436.0,299318.0,152107.0,147211.0,321.0,99.0,222.0,4.0,1.0,3.0,0.0,0.0,0.0
19,467582.0,233574.0,234008.0,466540.0,233304.0,233236.0,1031.0,268.0,763.0,8.0,2.0,6.0,3.0,0.0,3.0
,,,,,,,,,,,,,,,
20-24岁,1925806.0,955827.0,969979.0,1781768.0,912388.0,869380.0,143029.0,43194.0,99835.0,965.0,237.0,728.0,44.0,8.0,36.0
20,469804.0,235967.0,233837.0,466335.0,235196.0,231139.0,3445.0,763.0,2682.0,21.0,6.0,15.0,3.0,2.0,1.0
21,375460.0,187091.0,188369.0,366494.0,185086.0,181408.0,8911.0,1991.0,6920.0,54.0,14.0,40.0,1.0,0.0,1.0
22,368749.0,182509.0,186240.0,347316.0,176767.0,170549.0,21304.0,5715.0,15589.0,122.0,27.0,95.0,7.0,0.0,7.0
23,356481.0,175391.0,181090.0,315334.0,163041.0,152293.0,40898.0,12290.0,28608.0,237.0,59.0,178.0,12.0,1.0,11.0
24,355312.0,174869.0,180443.0,286289.0,152298.0,133991.0,68471.0,22435.0,46036.0,531.0,131.0,400.0,21.0,5.0,16.0
,,,,,,,,,,,,,,,
25-29岁,1829981.0,913901.0,916080.0,897979.0,525112.0,372867.0,918342.0,383793.0,534549.0,13301.0,4912.0,8389.0,359.0,84.0,275.0
25,372477.0,184189.0,188288.0,262608.0,144856.0,117752.0,108812.0,38990.0,69822.0,1016.0,330.0,686.0,41.0,13.0,28.0
26,348359.0,173492.0,174867.0,206662.0,118789.0,87873.0,140038.0,54205.0,85833.0,1615.0,496.0,1119.0,44.0,2.0,42.0
27,363682.0,181681.0,182001.0,175164.0,104407.0,70757.0,186062.0,76418.0,109644.0,2394.0,835.0,1559.0,62.0,21.0,41.0
28,364902.0,182907.0,181995.0,139224.0,85441.0,53783.0,222046.0,96088.0,125958.0,3535.0,1354.0,2181.0,97.0,24.0,73.0
29,380561.0,191632.0,188929.0,114321.0,71619.0,42702.0,261384.0,118092.0,143292.0,4741.0,1897.0,2844.0,115.0,24.0,91.0
,,,,,,,,,,,,,,,
30-34岁,2090813.0,1052389.0,1038424.0,340516.0,214580.0,125936.0,1702184.0,817325.0,884859.0,46829.0,20174.0,26655.0,1284.0,310.0,974.0
30,464655.0,233390.0,231265.0,109818.0,69434.0,40384.0,347496.0,160906.0,186590.0,7173.0,3006.0,4167.0,168.0,44.0,124.0
31,442011.0,221065.0,220946.0,81367.0,51351.0,30016.0,351959.0,166082.0,185877.0,8458.0,3584.0,4874.0,227.0,48.0,179.0
32,406588.0,204187.0,202401.0,61043.0,38438.0,22605.0,335821.0,161614.0,174207.0,9450.0,4073.0,5377.0,274.0,62.0,212.0
33,423428.0,213653.0,209775.0,51438.0,32369.0,19069.0,360448.0,176294.0,184154.0,11246.0,4918.0,6328.0,296.0,72.0,224.0
34,354131.0,180094.0,174037.0,36850.0,22988.0,13862.0,306460.0,152429.0,154031.0,10502.0,4593.0,5909.0,319.0,84.0,235.0
,,,,,,,,,,,,,,,
35-39岁,1317702.0,677103.0,640599.0,93372.0,55707.0,37665.0,1172672.0,599174.0,573498.0,49839.0,21871.0,27968.0,1819.0,351.0,1468.0
35,282576.0,145623.0,136953.0,25758.0,15946.0,9812.0,247147.0,125395.0,121752.0,9388.0,4227.0,5161.0,283.0,55.0,228.0
36,266835.0,137812.0,129023.0,21186.0,12744.0,8442.0,236078.0,120925.0,115153.0,9232.0,4071.0,5161.0,339.0,72.0,267.0
37,255443.0,130919.0,124524.0,17931.0,10676.0,7255.0,227232.0,115865.0,111367.0,9899.0,4307.0,5592.0,381.0,71.0,310.0
38,283025.0,145221.0,137804.0,16771.0,9731.0,7040.0,254090.0,130180.0,123910.0,11738.0,5228.0,6510.0,426.0,82.0,344.0
39,229823.0,117528.0,112295.0,11726.0,6610.0,5116.0,208125.0,106809.0,101316.0,9582.0,4038.0,5544.0,390.0,71.0,319.0
,,,,,,,,,,,,,,,
40-44岁,943357.0,494157.0,449200.0,33667.0,18571.0,15096.0,862862.0,456743.0,406119.0,43913.0,18292.0,25621.0,2915.0,551.0,2364.0
40,201690.0,103668.0,98022.0,9272.0,5163.0,4109.0,183179.0,94690.0,88489.0,8772.0,3731.0,5041.0,467.0,84.0,383.0
41,208257.0,108069.0,100188.0,7875.0,4324.0,3551.0,190346.0,99686.0,90660.0,9476.0,3971.0,5505.0,560.0,88.0,472.0
42,190010.0,99474.0,90536.0,6547.0,3632.0,2915.0,173968.0,92043.0,81925.0,8893.0,3673.0,5220.0,602.0,126.0,476.0
43,169377.0,89322.0,80055.0,5151.0,2804.0,2347.0,155358.0,82998.0,72360.0,8266.0,3402.0,4864.0,602.0,118.0,484.0
44,174023.0,93624.0,80399.0,4822.0,2648.0,2174.0,160011.0,87326.0,72685.0,8506.0,3515.0,4991.0,684.0,135.0,549.0
,,,,,,,,,,,,,,,
45-49岁,805575.0,443716.0,361859.0,19166.0,10476.0,8690.0,740128.0,415857.0,324271.0,41511.0,16457.0,25054.0,4770.0,926.0,3844.0
45,164514.0,89193.0,75321.0,4447.0,2474.0,1973.0,151108.0,83292.0,67816.0,8186.0,3281.0,4905.0,773.0,146.0,627.0
46,165537.0,90804.0,74733.0,4053.0,2226.0,1827.0,152338.0,85147.0,67191.0,8293.0,3259.0,5034.0,853.0,172.0,681.0
47,166094.0,91354.0,74740.0,4048.0,2126.0,1922.0,152402.0,85674.0,66728.0,8659.0,3367.0,5292.0,985.0,187.0,798.0
48,158490.0,88096.0,70394.0,3506.0,1944.0,1562.0,145597.0,82638.0,62959.0,8319.0,3321.0,4998.0,1068.0,193.0,875.0
49,150940.0,84269.0,66671.0,3112.0,1706.0,1406.0,138683.0,79106.0,59577.0,8054.0,3229.0,4825.0,1091.0,228.0,863.0
,,,,,,,,,,,,,,,
50-54岁,580416.0,331380.0,249036.0,8661.0,4938.0,3723.0,535376.0,313286.0,222090.0,29725.0,11754.0,17971.0,6654.0,1402.0,5252.0
50,147933.0,82702.0,65231.0,2811.0,1542.0,1269.0,135816.0,77797.0,58019.0,7979.0,3092.0,4887.0,1327.0,271.0,1056.0
51,125932.0,71216.0,54716.0,1908.0,1110.0,798.0,115953.0,67166.0,48787.0,6715.0,2635.0,4080.0,1356.0,305.0,1051.0
52,123886.0,70749.0,53137.0,1795.0,1021.0,774.0,114290.0,66855.0,47435.0,6362.0,2564.0,3798.0,1439.0,309.0,1130.0
53,86440.0,50264.0,36176.0,1107.0,646.0,461.0,80002.0,47697.0,32305.0,4238.0,1717.0,2521.0,1093.0,204.0,889.0
54,96225.0,56449.0,39776.0,1040.0,619.0,421.0,89315.0,53771.0,35544.0,4431.0,1746.0,2685.0,1439.0,313.0,1126.0
,,,,,,,,,,,,,,,
55-59岁,450591.0,270728.0,179863.0,4049.0,2329.0,1720.0,417385.0,257920.0,159465.0,20171.0,8219.0,11952.0,8986.0,2260.0,6726.0
55,98899.0,58729.0,40170.0,926.0,528.0,398.0,91740.0,55933.0,35807.0,4530.0,1847.0,2683.0,1703.0,421.0,1282.0
56,103835.0,62051.0,41784.0,984.0,587.0,397.0,96224.0,59113.0,37111.0,4703.0,1911.0,2792.0,1924.0,440.0,1484.0
57,121417.0,72763.0,48654.0,1034.0,586.0,448.0,112469.0,69356.0,43113.0,5491.0,2181.0,3310.0,2423.0,640.0,1783.0
58,81541.0,49884.0,31657.0,716.0,428.0,288.0,75593.0,47553.0,28040.0,3426.0,1427.0,1999.0,1806.0,476.0,1330.0
59,44899.0,27301.0,17598.0,389.0,200.0,189.0,41359.0,25965.0,15394.0,2021.0,853.0,1168.0,1130.0,283.0,847.0
,,,,,,,,,,,,,,,
60-64岁,257901.0,162405.0,95496.0,1773.0,902.0,871.0,237680.0,154577.0,83103.0,9455.0,4133.0,5322.0,8993.0,2793.0,6200.0
60,51272.0,31655.0,19617.0,402.0,213.0,189.0,47194.0,30042.0,17152.0,2184.0,971.0,1213.0,1492.0,429.0,1063.0
61,43732.0,27603.0,16129.0,319.0,158.0,161.0,40375.0,26310.0,14065.0,1682.0,732.0,950.0,1356.0,403.0,953.0
62,53239.0,33633.0,19606.0,335.0,172.0,163.0,49176.0,32069.0,17107.0,1897.0,843.0,1054.0,1831.0,549.0,1282.0
63,57588.0,36382.0,21206.0,382.0,198.0,184.0,53104.0,34651.0,18453.0,1967.0,829.0,1138.0,2135.0,704.0,1431.0
64,52070.0,33132.0,18938.0,335.0,161.0,174.0,47831.0,31505.0,16326.0,1725.0,758.0,967.0,2179.0,708.0,1471.0
,,,,,,,,,,,,,,,
65岁及以上,459864.0,302294.0,157570.0,2331.0,1065.0,1266.0,393190.0,273937.0,119253.0,8648.0,4172.0,4476.0,55695.0,23120.0,32575.0
,,,,,,,,,,,,,,,
大学本科,9814044.0,4969519.0,4844525.0,4051026.0,1957618.0,2093408.0,5552882.0,2928589.0,2624293.0,162964.0,64459.0,98505.0,47172.0,18853.0,28319.0
,,,,,,,,,,,,,,,
15-19岁,707759.0,324580.0,383179.0,707477.0,324483.0,382994.0,277.0,95.0,182.0,4.0,1.0,3.0,1.0,1.0,0.0
15,1870.0,896.0,974.0,1863.0,891.0,972.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
16,4938.0,2341.0,2597.0,4931.0,2337.0,2594.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
17,38893.0,16866.0,22027.0,38875.0,16856.0,22019.0,18.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
18,237881.0,109188.0,128693.0,237815.0,109163.0,128652.0,63.0,24.0,39.0,3.0,1.0,2.0,0.0,0.0,0.0
19,424177.0,195289.0,228888.0,423993.0,195236.0,228757.0,183.0,53.0,130.0,1.0,0.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
20-24岁,1987695.0,916606.0,1071089.0,1942497.0,903134.0,1039363.0,44940.0,13404.0,31536.0,251.0,68.0,183.0,7.0,0.0,7.0
20,500372.0,230451.0,269921.0,499861.0,230297.0,269564.0,507.0,151.0,356.0,4.0,3.0,1.0,0.0,0.0,0.0
21,465810.0,215021.0,250789.0,464255.0,214646.0,249609.0,1539.0,372.0,1167.0,14.0,3.0,11.0,2.0,0.0,2.0
22,395085.0,182962.0,212123.0,390449.0,181785.0,208664.0,4612.0,1165.0,3447.0,24.0,12.0,12.0,0.0,0.0,0.0
23,323829.0,149806.0,174023.0,312196.0,146319.0,165877.0,11570.0,3470.0,8100.0,61.0,17.0,44.0,2.0,0.0,2.0
24,302599.0,138366.0,164233.0,275736.0,130087.0,145649.0,26712.0,8246.0,18466.0,148.0,33.0,115.0,3.0,0.0,3.0
,,,,,,,,,,,,,,,
25-29岁,1612570.0,751118.0,861452.0,932203.0,477717.0,454486.0,674322.0,271340.0,402982.0,5926.0,2034.0,3892.0,119.0,27.0,92.0
25,316569.0,145488.0,171081.0,260903.0,126875.0,134028.0,55349.0,18531.0,36818.0,312.0,79.0,233.0,5.0,3.0,2.0
26,309679.0,142129.0,167550.0,218982.0,109288.0,109694.0,90112.0,32664.0,57448.0,567.0,175.0,392.0,18.0,2.0,16.0
27,326048.0,150680.0,175368.0,187275.0,97190.0,90085.0,137738.0,53135.0,84603.0,1022.0,352.0,670.0,13.0,3.0,10.0
28,328760.0,154776.0,173984.0,149015.0,80551.0,68464.0,178051.0,73645.0,104406.0,1659.0,571.0,1088.0,35.0,9.0,26.0
29,331514.0,158045.0,173469.0,116028.0,63813.0,52215.0,213072.0,93365.0,119707.0,2366.0,857.0,1509.0,48.0,10.0,38.0
,,,,,,,,,,,,,,,
30-34岁,1813161.0,886151.0,927010.0,324450.0,178333.0,146117.0,1459131.0,696510.0,762621.0,28911.0,11150.0,17761.0,669.0,158.0,511.0
30,393402.0,189190.0,204212.0,106647.0,59361.0,47286.0,282862.0,128390.0,154472.0,3814.0,1421.0,2393.0,79.0,18.0,61.0
31,375662.0,181523.0,194139.0,77856.0,43069.0,34787.0,292868.0,136569.0,156299.0,4845.0,1861.0,2984.0,93.0,24.0,69.0
32,352522.0,171832.0,180690.0,57757.0,31507.0,26250.0,288814.0,138077.0,150737.0,5818.0,2223.0,3595.0,133.0,25.0,108.0
33,369764.0,182526.0,187238.0,47634.0,25835.0,21799.0,314838.0,153869.0,160969.0,7116.0,2782.0,4334.0,176.0,40.0,136.0
34,321811.0,161080.0,160731.0,34556.0,18561.0,15995.0,279749.0,139605.0,140144.0,7318.0,2863.0,4455.0,188.0,51.0,137.0
,,,,,,,,,,,,,,,
35-39岁,1294610.0,666171.0,628439.0,93574.0,48601.0,44973.0,1161303.0,601951.0,559352.0,38435.0,15353.0,23082.0,1298.0,266.0,1032.0
35,272306.0,138883.0,133423.0,25602.0,13745.0,11857.0,239839.0,122397.0,117442.0,6677.0,2699.0,3978.0,188.0,42.0,146.0
36,268662.0,138243.0,130419.0,21306.0,11115.0,10191.0,239824.0,124117.0,115707.0,7306.0,2965.0,4341.0,226.0,46.0,180.0
37,259420.0,133478.0,125942.0,18434.0,9470.0,8964.0,232806.0,120814.0,111992.0,7914.0,3137.0,4777.0,266.0,57.0,209.0
38,279725.0,144136.0,135589.0,17076.0,8646.0,8430.0,253095.0,131761.0,121334.0,9212.0,3662.0,5550.0,342.0,67.0,275.0
39,214497.0,111431.0,103066.0,11156.0,5625.0,5531.0,195739.0,102862.0,92877.0,7326.0,2890.0,4436.0,276.0,54.0,222.0
,,,,,,,,,,,,,,,
40-44岁,776827.0,413460.0,363367.0,27188.0,13297.0,13891.0,719202.0,388858.0,330344.0,28729.0,10955.0,17774.0,1708.0,350.0,1358.0
40,178596.0,93382.0,85214.0,7875.0,3893.0,3982.0,164120.0,86938.0,77182.0,6309.0,2483.0,3826.0,292.0,68.0,224.0
41,174369.0,91853.0,82516.0,6527.0,3249.0,3278.0,161180.0,86099.0,75081.0,6321.0,2437.0,3884.0,341.0,68.0,273.0
42,155304.0,82320.0,72984.0,5301.0,2509.0,2792.0,143866.0,77544.0,66322.0,5806.0,2201.0,3605.0,331.0,66.0,265.0
43,134811.0,72246.0,62565.0,4049.0,1953.0,2096.0,125328.0,68373.0,56955.0,5110.0,1858.0,3252.0,324.0,62.0,262.0
44,133747.0,73659.0,60088.0,3436.0,1693.0,1743.0,124708.0,69904.0,54804.0,5183.0,1976.0,3207.0,420.0,86.0,334.0
,,,,,,,,,,,,,,,
45-49岁,583738.0,335482.0,248256.0,12939.0,6409.0,6530.0,543836.0,319259.0,224577.0,24480.0,9268.0,15212.0,2483.0,546.0,1937.0
45,122440.0,68670.0,53770.0,2993.0,1481.0,1512.0,114151.0,65194.0,48957.0,4892.0,1898.0,2994.0,404.0,97.0,307.0
46,121051.0,69128.0,51923.0,2774.0,1366.0,1408.0,112896.0,65746.0,47150.0,4888.0,1903.0,2985.0,493.0,113.0,380.0
47,119277.0,68612.0,50665.0,2731.0,1321.0,1410.0,110956.0,65270.0,45686.0,5108.0,1910.0,3198.0,482.0,111.0,371.0
48,112997.0,66162.0,46835.0,2366.0,1193.0,1173.0,105286.0,63032.0,42254.0,4826.0,1835.0,2991.0,519.0,102.0,417.0
49,107973.0,62910.0,45063.0,2075.0,1048.0,1027.0,100547.0,60017.0,40530.0,4766.0,1722.0,3044.0,585.0,123.0,462.0
,,,,,,,,,,,,,,,
50-54岁,411483.0,252126.0,159357.0,5895.0,3153.0,2742.0,385045.0,241269.0,143776.0,17319.0,6865.0,10454.0,3224.0,839.0,2385.0
50,103174.0,60996.0,42178.0,1813.0,940.0,873.0,96196.0,58171.0,38025.0,4563.0,1757.0,2806.0,602.0,128.0,474.0
51,88901.0,53436.0,35465.0,1316.0,699.0,617.0,83037.0,51077.0,31960.0,3838.0,1482.0,2356.0,710.0,178.0,532.0
52,89476.0,54882.0,34594.0,1242.0,657.0,585.0,83617.0,52510.0,31107.0,3854.0,1527.0,2327.0,763.0,188.0,575.0
53,61754.0,38989.0,22765.0,797.0,446.0,351.0,58042.0,37407.0,20635.0,2407.0,977.0,1430.0,508.0,159.0,349.0
54,68178.0,43823.0,24355.0,727.0,411.0,316.0,64153.0,42104.0,22049.0,2657.0,1122.0,1535.0,641.0,186.0,455.0
,,,,,,,,,,,,,,,
55-59岁,271731.0,182138.0,89593.0,2593.0,1470.0,1123.0,254904.0,174798.0,80106.0,10655.0,4737.0,5918.0,3579.0,1133.0,2446.0
55,66838.0,44072.0,22766.0,659.0,386.0,273.0,62863.0,42342.0,20521.0,2554.0,1140.0,1414.0,762.0,204.0,558.0
56,65001.0,43495.0,21506.0,607.0,341.0,266.0,61078.0,41803.0,19275.0,2543.0,1096.0,1447.0,773.0,255.0,518.0
57,72145.0,48538.0,23607.0,640.0,368.0,272.0,67735.0,46652.0,21083.0,2804.0,1207.0,1597.0,966.0,311.0,655.0
58,44530.0,30398.0,14132.0,460.0,255.0,205.0,41589.0,29073.0,12516.0,1803.0,840.0,963.0,678.0,230.0,448.0
59,23217.0,15635.0,7582.0,227.0,120.0,107.0,21639.0,14928.0,6711.0,951.0,454.0,497.0,400.0,133.0,267.0
,,,,,,,,,,,,,,,
60-64岁,109172.0,73952.0,35220.0,900.0,423.0,477.0,101389.0,70643.0,30746.0,4035.0,1859.0,2176.0,2848.0,1027.0,1821.0
60,24210.0,16400.0,7810.0,203.0,106.0,97.0,22568.0,15676.0,6892.0,944.0,447.0,497.0,495.0,171.0,324.0
61,18795.0,12772.0,6023.0,184.0,88.0,96.0,17417.0,12184.0,5233.0,734.0,338.0,396.0,460.0,162.0,298.0
62,21311.0,14418.0,6893.0,180.0,78.0,102.0,19776.0,13787.0,5989.0,804.0,360.0,444.0,551.0,193.0,358.0
63,23657.0,16108.0,7549.0,184.0,85.0,99.0,21991.0,15394.0,6597.0,811.0,375.0,436.0,671.0,254.0,417.0
64,21199.0,14254.0,6945.0,149.0,66.0,83.0,19637.0,13602.0,6035.0,742.0,339.0,403.0,671.0,247.0,424.0
,,,,,,,,,,,,,,,
65岁及以上,245298.0,167735.0,77563.0,1310.0,598.0,712.0,208533.0,150462.0,58071.0,4219.0,2169.0,2050.0,31236.0,14506.0,16730.0
,,,,,,,,,,,,,,,
硕士研究生,1017468.0,507701.0,509767.0,409543.0,182978.0,226565.0,591242.0,318060.0,273182.0,15143.0,6017.0,9126.0,1540.0,646.0,894.0
,,,,,,,,,,,,,,,
15-19岁,889.0,501.0,388.0,886.0,501.0,385.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,104.0,61.0,43.0,103.0,61.0,42.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,288.0,162.0,126.0,287.0,162.0,125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,494.0,278.0,216.0,493.0,278.0,215.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,
20-24岁,156627.0,68053.0,88574.0,155476.0,67675.0,87801.0,1141.0,375.0,766.0,8.0,2.0,6.0,2.0,1.0,1.0
20,1233.0,591.0,642.0,1225.0,590.0,635.0,8.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6967.0,2851.0,4116.0,6947.0,2847.0,4100.0,20.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
22,33166.0,14497.0,18669.0,33085.0,14471.0,18614.0,81.0,26.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
23,55085.0,23715.0,31370.0,54831.0,23640.0,31191.0,250.0,74.0,176.0,3.0,1.0,2.0,1.0,0.0,1.0
