学校,学校排名,专业,最低分,最低分位次,录取人数,选科要求
天津城建大学,,给排水科学与工程,551分,105405名,2人,物
天津城建大学,,建筑环境与能源应用工程,550分,106711名,3人,物
天津城建大学,,风景园林,550分,106628名,1人,物
天津城建大学,,地质工程,550分,106928名,3人,物/化
天津城建大学,,管理科学与工程类(含工程管理，房地产开发与管理，工程造价专业),548分,108545名,5人,物
河南科技大学,,信息管理与信息系统(开元校区),573分,80680名,2人,物+技
西北师范大学,,信息与计算科学,573分,81091名,2人,物
福建师范大学,,电子信息工程(中外合作办学)(中英合作)(与英国哈德斯菲尔德大学合作办学.旗山校区),573分,80463名,6人,物
淮北师范大学,,国际经济与贸易(滨湖校区),573分,80614名,1人,不限
安徽工业大学,,外国语言文学类(佳山校区含英语，翻译，商务英语专业),573分,80951名,2人,不限
安徽工业大学,,氢能科学与工程(佳山校区),573分,81017名,2人,物+化
河南理工大学,,国际经济与贸易(南校区),573分,81211名,2人,不限
山东建筑大学,,建筑学(中外合作办学)(与新西兰Unitec理工学院合作办学),565分,90401名,4人,物/史/地
山东建筑大学,,建筑电气与智能化,564分,90900名,2人,物
山东建筑大学,,英语,561分,93815名,3人,不限
山东建筑大学,,机械工程,561分,94482名,3人,物
山东建筑大学,,智能制造工程,561分,94498名,3人,物
山东建筑大学,,工程管理,559分,95997名,3人,物
山东建筑大学,,给排水科学与工程,558分,97679名,2人,物
山东建筑大学,,建筑环境与能源应用工程,558分,97793名,2人,物
山东建筑大学,,土木工程(中外合作办学),547分,110295名,3人,物
南京航空航天大学金城学院,,思想政治教育,554分,102496名,5人,政
南京航空航天大学金城学院,,会计学,552分,104592名,16人,不限
南京航空航天大学金城学院,,金融学,549分,107574名,5人,不限
南京航空航天大学金城学院,,工商管理,545分,112298名,7人,不限
南京航空航天大学金城学院,,计算机科学与技术,545分,111876名,4人,物
南京航空航天大学金城学院,,英语,544分,112979名,7人,不限
南京航空航天大学金城学院,,电气工程及其自动化,544分,113066名,2人,物
南京航空航天大学金城学院,,软件工程,542分,115060名,4人,物
南京航空航天大学金城学院,,国际经济与贸易,541分,116067名,7人,不限
南京航空航天大学金城学院,,交通运输,539分,118581名,2人,物
南京航空航天大学金城学院,,物联网工程,539分,118808名,2人,物
南京航空航天大学金城学院,,翻译,538分,120253名,5人,不限
南京航空航天大学金城学院,,人工智能,538分,119513名,4人,物
南京航空航天大学金城学院,,新能源汽车工程,538分,119467名,2人,物
南京航空航天大学金城学院,,自动化,538分,120458名,2人,物
南京航空航天大学金城学院,,信息工程,537分,121351名,2人,物
南京航空航天大学金城学院,,飞行器控制与信息工程,534分,124088名,3人,物
南京航空航天大学金城学院,,机器人工程,534分,123985名,2人,物
南京航空航天大学金城学院,,土木工程,533分,125168名,2人,物
南京航空航天大学金城学院,,工业设计,533分,125682名,5人,物
南京航空航天大学金城学院,,车辆工程,532分,126538名,2人,物
南京航空航天大学金城学院,,飞行器制造工程,531分,128371名,2人,物
南京航空航天大学金城学院,,工程造价,531分,127763名,2人,物
湖北经济学院,,财政学,573分,80740名,4人,不限
山西财经大学,,文化产业管理(迎泽校区),573分,81430名,2人,不限
山西财经大学,,人力资源管理(迎泽校区),573分,81389名,2人,不限
山东理工大学,,国际经济与贸易,573分,81278名,2人,不限
浙江外国语学院,,会展经济与管理,573分,80958名,18人,不限
浙江外国语学院,,西班牙语,573分,81365名,16人,不限
浙江外国语学院,,金融工程,573分,80854名,60人,不限
山西中医药大学,,制药工程,569分,85499名,1人,物/化/生
山西中医药大学,,护理学,568分,86674名,3人,不限
山西中医药大学,,信息管理与信息系统,555分,101048名,1人,物
浙江海洋大学,,海洋科学(前两年在定海校区后两年在新城校区),573分,80954名,69人,物/化/生
浙江海洋大学,,水产养殖学(浙江省户籍考生免学费.第一年在定海校区，一年后在新城校区),573分,81184名,28人,物/化/生
厦门大学嘉庚学院,,会计学(厦门大学漳州校区),564分,90943名,6人,不限
厦门大学嘉庚学院,,新闻学(厦门大学漳州校区),562分,93520名,4人,不限
厦门大学嘉庚学院,,财务管理(厦门大学漳州校区),560分,95178名,3人,不限
厦门大学嘉庚学院,,财政学(厦门大学漳州校区),559分,97102名,3人,不限
厦门大学嘉庚学院,,金融学(厦门大学漳州校区),559分,96942名,4人,不限
厦门大学嘉庚学院,,广告学(厦门大学漳州校区),557分,98248名,5人,不限
厦门大学嘉庚学院,,税收学(厦门大学漳州校区),556分,99856名,4人,不限
厦门大学嘉庚学院,,广播电视学(厦门大学漳州校区),555分,101096名,4人,不限
厦门大学嘉庚学院,,建筑学(厦门大学漳州校区),555分,100922名,3人,物/史/地
厦门大学嘉庚学院,,风景园林(厦门大学漳州校区),554分,102588名,2人,物/史/地
厦门大学嘉庚学院,,文化产业管理(厦门大学漳州校区),553分,103308名,3人,不限
厦门大学嘉庚学院,,工商管理(厦门大学漳州校区),553分,103579名,6人,不限
厦门大学嘉庚学院,,软件工程(厦门大学漳州校区),553分,103377名,3人,物
厦门大学嘉庚学院,,城乡规划(厦门大学漳州校区),553分,103663名,4人,物/史/地
厦门大学嘉庚学院,,英语(厦门大学漳州校区),552分,104376名,5人,不限
厦门大学嘉庚学院,,国际经济与贸易(厦门大学漳州校区),552分,104441名,6人,不限
厦门大学嘉庚学院,,环境科学与工程(厦门大学漳州校区),551分,105845名,3人,化/生
厦门大学嘉庚学院,,电子商务(厦门大学漳州校区),547分,109750名,7人,不限
厦门大学嘉庚学院,,计算机科学与技术(厦门大学漳州校区),547分,109408名,4人,物
厦门大学嘉庚学院,,旅游管理(厦门大学漳州校区),546分,111382名,5人,不限
厦门大学嘉庚学院,,市场营销(厦门大学漳州校区),546分,110906名,5人,不限
厦门大学嘉庚学院,,电子信息工程(厦门大学漳州校区),546分,111034名,3人,物
厦门大学嘉庚学院,,物联网工程(厦门大学漳州校区),546分,111033名,2人,物
厦门大学嘉庚学院,,日语(厦门大学漳州校区),544分,112820名,6人,不限
厦门大学嘉庚学院,,行政管理(厦门大学漳州校区),544分,113676名,5人,不限
厦门大学嘉庚学院,,国际商务(厦门大学漳州校区),543分,113958名,4人,不限
厦门大学嘉庚学院,,电气工程及其自动化(厦门大学漳州校区),543分,114194名,4人,物
厦门大学嘉庚学院,,智能科学与技术(厦门大学漳州校区),543分,113872名,2人,物
厦门大学嘉庚学院,,物流管理(厦门大学漳州校区),542分,115528名,5人,不限
厦门大学嘉庚学院,,数据科学与大数据技术(厦门大学漳州校区),542分,115081名,3人,物
厦门大学嘉庚学院,,自动化(厦门大学漳州校区),540分,118177名,3人,物
厦门大学嘉庚学院,,光电信息科学与工程(厦门大学漳州校区),539分,118730名,3人,物
厦门大学嘉庚学院,,通信工程(厦门大学漳州校区),539分,118366名,4人,物
厦门大学嘉庚学院,,机械设计制造及其自动化(厦门大学漳州校区),536分,121850名,4人,物
厦门大学嘉庚学院,,机器人工程(厦门大学漳州校区),536分,122528名,3人,物
厦门大学嘉庚学院,,大数据管理与应用(厦门大学漳州校区),536分,121891名,4人,物
厦门大学嘉庚学院,,机械电子工程(厦门大学漳州校区),533分,125199名,4人,物
厦门大学嘉庚学院,,信息管理与信息系统(厦门大学漳州校区),530分,128899名,6人,物
厦门大学嘉庚学院,,工程造价(厦门大学漳州校区),530分,128585名,4人,物
厦门大学嘉庚学院,,车辆工程(厦门大学漳州校区),530分,128580名,3人,物
厦门大学嘉庚学院,,工程管理(授工学学位.厦门大学漳州校区),528分,130924名,2人,物
厦门大学嘉庚学院,,给排水科学与工程(厦门大学漳州校区),528分,130952名,3人,物
厦门大学嘉庚学院,,工程管理(授管理学学位.厦门大学漳州校区),528分,131116名,4人,物
厦门大学嘉庚学院,,土木工程(厦门大学漳州校区),526分,133164名,5人,物
山东科技大学,,土木工程(青岛校区),573分,80692名,5人,物
浙江科技学院,,国际经济与贸易(国际班)(小和山校区.要求高考外语成绩不低于110分),573分,81161名,25人,不限
浙江科技学院,,化学工程与工艺(第一年在安吉校区，一年后在小和山校区就读),573分,81199名,9人,化
四川轻化工大学,,机械电子工程,573分,80815名,1人,物
南宁师范大学,,英语(师范)(武鸣校区),573分,81543名,3人,不限
兰州交通大学,,财务管理,573分,80466名,3人,不限
云南财经大学,,工商管理(龙泉路校区),573分,81563名,4人,不限
湖北中医药大学,,物流管理,573分,81364名,1人,不限
湖北中医药大学,,运动康复,573分,81299名,3人,不限
河北地质大学,,工商管理类(财会方向)(含会计学，审计学，财务管理专业),573分,80898名,2人,不限
西华大学,,食品科学与工程(郫都校区),573分,80618名,4人,化/生
湖北师范大学,,环境工程,557分,98426名,2人,化
湖北师范大学,,材料科学与工程,544分,113125名,2人,物
湖北师范大学,,电子信息工程(中外合作办学),540分,117401名,8人,物
黑龙江大学,,翻译(英语),573分,81573名,2人,不限
齐齐哈尔医学院,,应用心理学,567分,88084名,1人,不限
齐齐哈尔医学院,,临床医学,566分,89033名,7人,化+生
齐齐哈尔医学院,,医学检验技术,565分,89862名,1人,化/生
齐齐哈尔医学院,,康复治疗学,558分,97834名,1人,物/化/生
齐齐哈尔医学院,,预防医学,554分,101752名,2人,化
齐齐哈尔医学院,,药学类(含药学，药物制剂专业),551分,105461名,1人,化
齐齐哈尔医学院,,医学影像学,550分,106821名,5人,物+生
湖北工程学院,,经济学,562分,93017名,2人,不限
湖北工程学院,,数据科学与大数据技术,562分,93469名,1人,物
湖北工程学院,,计算机科学与技术,562分,92819名,2人,物
湖北工程学院,,英语,558分,97960名,2人,不限
湖北工程学院,,自动化,558分,97703名,1人,物
湖北工程学院,,电子信息科学与技术,554分,101762名,1人,物
湖北工程学院,,金融工程,553分,102864名,1人,不限
湖北工程学院,,电子商务,553分,103638名,2人,不限
湖北工程学院,,机械设计制造及其自动化,548分,108686名,2人,物
湖北工程学院,,光电信息科学与工程,540分,117529名,1人,物
桂林航天工业学院,,商务英语,550分,106735名,2人,不限
桂林航天工业学院,,国际商务,550分,106439名,2人,不限
桂林航天工业学院,,汉语国际教育,549分,108051名,2人,不限
桂林航天工业学院,,数字媒体技术,548分,109118名,2人,物
桂林航天工业学院,,物流工程,546分,111351名,2人,不限
桂林航天工业学院,,计算机科学与技术,545分,112137名,2人,物
桂林航天工业学院,,市场营销,544分,113680名,2人,不限
桂林航天工业学院,,软件工程,544分,112859名,2人,物
桂林航天工业学院,,机械设计制造及其自动化,544分,113600名,2人,物
桂林航天工业学院,,自动化,542分,115624名,2人,物
桂林航天工业学院,,数据科学与大数据技术,542分,115601名,2人,物
桂林航天工业学院,,电子信息工程,542分,115254名,2人,物
桂林航天工业学院,,智能制造工程,541分,116240名,2人,物
桂林航天工业学院,,新能源汽车工程,541分,116091名,2人,物
桂林航天工业学院,,测控技术与仪器,538分,119476名,2人,物
南华大学,,药物制剂(红湘校区),573分,81069名,2人,物/化/生
河南农业大学,,土地资源管理,573分,80495名,4人,不限
江西科技师范大学,,计算机科学与技术(泰豪)(元宇宙产业学院.泰豪校区),573分,81205名,3人,物
湖南农业大学,,食品科学与工程,573分,80955名,2人,物/化/生
东北石油大学,,数据科学与大数据技术(大庆校区),573分,80805名,1人,物
赣南师范大学,,人力资源管理(蓉江校区),573分,81409名,2人,不限
赣南师范大学,,应用统计学(蓉江校区),573分,80743名,2人,物/化/生
闽江学院,,计算机科学与技术,573分,80673名,2人,物
闽江学院,,电气工程及其自动化,573分,80721名,1人,物
湖州师范学院,,电子信息工程,573分,80853名,8人,物
湖南中医药大学湘杏学院,,中西医临床医学(湘阴校区),573分,81417名,3人,物/化/生
长沙学院,,新闻学,573分,81254名,3人,不限
北华大学,,药学(丰满校区),569分,85850名,2人,物/化/生
北华大学,,护理学(丰满校区),567分,87768名,2人,不限
北华大学,,风景园林(丰满校区),565分,90359名,2人,史/生/地
北华大学,,数学与应用数学(师范)(高新校区),564分,90499名,4人,物
北华大学,,电气工程及其自动化(龙潭校区),563分,91779名,4人,物
北华大学,,预防医学(丰满校区),562分,92831名,2人,化+生
北华大学,,国际经济与贸易(丰满校区),561分,93787名,2人,不限
北华大学,,工商管理(丰满校区),561分,94075名,3人,不限
北华大学,,行政管理(丰满校区),560分,95232名,3人,不限
北华大学,,园林(丰满校区),560分,94983名,2人,物/化/生
北华大学,,林学(丰满校区),560分,95108名,3人,物/化/生
北华大学,,医学影像学(丰满校区),560分,95225名,2人,物+化+生
北华大学,,自动化(龙潭校区),557分,98214名,2人,物
北华大学,,通信工程(龙潭校区),554分,101535名,2人,物
北华大学,,护理学(中外合作办学)(与芬兰于韦斯屈莱应用科技大学合作办学.丰满校区),553分,102992名,5人,不限
北华大学,,物理学(师范)(高新校区),552分,103784名,4人,物
北华大学,,日语(丰满校区),550分,106848名,4人,不限
北华大学,,智能制造工程(龙潭校区),550分,106166名,4人,物
北华大学,,机械设计制造及其自动化(龙潭校区),546分,110826名,4人,物
北华大学,,木材科学与工程(丰满校区),546分,110948名,2人,物/化/生
北华大学,,车辆工程(丰满校区),544分,113197名,4人,物
北华大学,,材料成型及控制工程(龙潭校区),541分,116152名,2人,物
北华大学,,机械设计制造及其自动化(中外合作办学)(与英国提赛德大学合作办学.龙潭校区),535分,123049名,6人,物
兰州理工大学,,建筑学(兰工坪校区),573分,80849名,4人,物/史/地
湖北文理学院,,食品科学与工程类(含食品科学与工程，食品质量与安全专业),554分,102117名,2人,物/化/生
湖北文理学院,,财务管理(ACCA方向)(人学后另收取课程培训费9750元/年.要求高考外语成绩不低于105分),553分,103003名,4人,不限
湖北文理学院,,计算机类(含计算机科学与技术软件工程，物联网工程专业),550分,106979名,4人,物
湖北文理学院,,电子信息类(含电子信息工程，电子信息科学与技术，通信工程专业),547分,109901名,3人,物
湖北文理学院,,机械类(含机械设计制造及其自动化，智能制造工程专业),543分,114005名,3人,物
湖北文理学院,,交通设备与控制工程(智能交通方向),543分,114192名,3人,物
四川音乐学院,,戏剧影视文学(新都校区),569分,85425名,2人,不限
四川音乐学院,,新媒体艺术(武侯校区),568分,86930名,2人,不限
四川音乐学院,,影视摄影与制作(新都校区),561分,94443名,2人,不限
四川音乐学院,,广播电视编导(新都校区),559分,96686名,4人,不限
四川音乐学院,,艺术管理(新都校区),559分,96932名,2人,不限
四川音乐学院,,摄影(新都校区),555分,100459名,2人,不限
四川音乐学院,,艺术史论(四年均须按标准向四川音乐学院缴纳学费，第三，四学年须赴澳大利亚新南威尔士大学学习，其间须按照国外高校收费标准缴纳学费.新都校区),550分,106855名,3人,不限
四川音乐学院,,广播电视编导(四年均须按标准向四川音乐学院缴纳学费，第三，四学年须赴澳大利亚新南威尔士大学学习，其间须按照国外高校收费标准缴纳学费.新都校区),550分,107029名,3人,不限
衡阳师范学院,,知识产权(东校区),573分,81473名,2人,不限
嘉兴学院,,学前教育(师范)(平湖校区),573分,80672名,74人,不限
嘉兴学院,,数据科学与大数据技术(梁林校区),573分,80710名,12人,物
嘉兴学院,,电子信息工程(梁林校区),573分,80657名,10人,物
太原师范学院,,学前教育(师范),562分,93714名,3人,不限
太原师范学院,,化学(师范),559分,96149名,4人,物/化
太原师范学院,,数学与应用数学(师范),554分,101611名,5人,物
太原师范学院,,英语(师范),551分,105628名,3人,不限
太原师范学院,,数据科学与大数据技术,544分,113708名,4人,物
嘉兴学院,,软件工程(梁林校区),573分,80766名,16人,物
东莞理工学院,,化学工程与工艺(松山湖校区),573分,80534名,2人,物/化/生
海南师范大学,,软件工程(NIIT班)(桂林洋校区),573分,80886名,6人,物
湖南第一师范学院,,国际经济与贸易,573分,81342名,1人,不限
湖南科技学院,,秘书学,560分,95568名,3人,不限
湖南科技学院,,软件工程,559分,97017名,3人,物
湖南科技学院,,国际经济与贸易,553分,103046名,2人,不限
湖南科技学院,,商务英语,552分,104466名,2人,不限
湖南科技学院,,跨境电子商务,551分,105378名,2人,不限
湖南科技学院,,智能制造工程,542分,115861名,3人,物
浙大宁波理工学院,,电气工程及其自动化,573分,80586名,35人,物
华北理工大学,,卫生检验与检疫,573分,81340名,3人,物/化/生
南昌医学院,,医学检验技术(小蓝校区),573分,81315名,8人,化/生
广西中医药大学,,药学,573分,80867名,2人,物/化/生
山东第一医科大学,,英语(泰安校区),535分,123848名,5人,不限
陕西理工大学,,化学(师范),573分,80889名,1人,物/化
中国民用航空飞行学院,,物联网工程,573分,81187名,2人,物
中国民用航空飞行学院,,飞行器适航技术(学校提醒:不适宜女生报考.德阳校区),573分,80497名,2人,物
中国民用航空飞行学院,,大气科学(德阳校区),573分,81204名,3人,物
贵州中医药大学,,药物制剂(中外合作办学)(要求高考外语成绩不低于75分),558分,97588名,2人,物/化/生
东华理工大学,,土地资源管理(南昌校区),573分,80494名,3人,不限
东华理工大学,,数学与应用数学(含金融，软件设计方向)(抚州校区),573分,80802名,4人,物
山东农业大学,,公共管理类(含行政管理，城市管理专业),573分,81314名,3人,不限
渤海大学,,软件工程(后两年学费16000元/年.滨海校区),573分,81355名,2人,物
黑龙江中医药大学,,药学,573分,80972名,4人,化/生
重庆三峡学院,,数学与应用数学(师范),573分,80481名,2人,物
南京特殊教育师范学院,,教育技术学(师范)(第一学年在江宁校区),568分,86670名,4人,不限
南京特殊教育师范学院,,学前教育(师范)(第一学年在江宁校区),566分,88976名,5人,不限
南京特殊教育师范学院,,康复治疗学(第一学年在江宁校区),566分,89097名,2人,物/化/生
南京特殊教育师范学院,,手语翻译(第一学年在江宁校区),565分,89707名,2人,不限
南京特殊教育师范学院,,无障碍管理(第一学年在江宁校区),564分,91197名,2人,不限
南京特殊教育师范学院,,计算机科学与技术(第一学年在江宁校区),562分,93340名,2人,物
南京特殊教育师范学院,,公共事业管理(第一学年在江宁校区),559分,97042名,2人,不限
南京特殊教育师范学院,,数学与应用数学(师范)(第一学年在江宁校区),552分,103821名,6人,物
南京特殊教育师范学院,,数据科学与大数据技术(第一学年在江宁校区),544分,112730名,4人,物
南京特殊教育师范学院,,听力与言语康复学(第一学年在江宁校区),540分,117679名,4人,物
黑龙江科技大学,,汉语言文学,568分,87019名,4人,不限
黑龙江科技大学,,建筑学,566分,89152名,1人,物/史/化
黑龙江科技大学,,城乡规划,560分,94892名,1人,物/史/地
黑龙江科技大学,,思想政治教育,560分,95861名,4人,政
黑龙江科技大学,,电气工程及其自动化,559分,96498名,3人,物
黑龙江科技大学,,财务管理,558分,97664名,4人,不限
黑龙江科技大学,,经济学,557分,98801名,4人,不限
黑龙江科技大学,,计算机科学与技术,557分,99076名,4人,物
黑龙江科技大学,,电子信息工程,555分,100633名,2人,物
黑龙江科技大学,,软件工程,554分,101593名,2人,物
黑龙江科技大学,,国际经济与贸易,553分,103264名,2人,不限
黑龙江科技大学,,英语,551分,105899名,4人,不限
黑龙江科技大学,,数据科学与大数据技术,550分,106120名,4人,物
黑龙江科技大学,,电气工程与智能控制,550分,106485名,4人,物
黑龙江科技大学,,人工智能,550分,106105名,2人,物
黑龙江科技大学,,数学与应用数学,549分,107872名,1人,物
黑龙江科技大学,,机械设计制造及其自动化,549分,107592名,4人,物
黑龙江科技大学,,自动化,549分,107372名,2人,物
黑龙江科技大学,,物联网工程,547分,109492名,4人,物
黑龙江科技大学,,通信工程,546分,111573名,4人,物
黑龙江科技大学,,环境工程,546分,110676名,2人,物/化/生
黑龙江科技大学,,安全工程,541分,116507名,2人,物
黑龙江科技大学,,信息管理与信息系统,540分,117238名,4人,物
黑龙江科技大学,,道路桥梁与渡河工程,540分,117254名,2人,物
山东石油化工学院,,汉语言文学,564分,91224名,3人,不限
山东石油化工学院,,法学,561分,94824名,2人,不限
山东石油化工学院,,财务管理,560分,95662名,2人,不限
山东石油化工学院,,学前教育(师范),553分,103577名,2人,不限
山东石油化工学院,,石油工程,548分,109056名,2人,物/化
山东石油化工学院,,资源勘查工程,546分,110693名,2人,物/化
山东石油化工学院,,环境工程,542分,115040名,3人,物/化/生
山东石油化工学院,,物联网工程,540分,117886名,3人,物
山东石油化工学院,,自动化,539分,118524名,3人,物
山东石油化工学院,,信息与计算科学,539分,118494名,2人,物
山东石油化工学院,,机械设计制造及其自动化,539分,118456名,3人,物
山东石油化工学院,,建筑环境与能源应用工程,536分,122791名,3人,物
皖南医学院,,卫生检验与检疫(滨江校区),573分,81445名,2人,化/生
天津职业技术师范大学,,数字媒体技术(师范),573分,81212名,1人,物
天津职业技术师范大学,,人工智能(师范),573分,81219名,2人,物
山东建筑大学,,计算机科学与技术,573分,80881名,3人,物
湖北师范大学,,经济学类(含国际经济与贸易，经济学专业),573分,80823名,2人,不限
北华大学,,会计学(丰满校区),573分,80831名,2人,不限
无锡学院,,国际经济与贸易(无锡校区),569分,85462名,2人,不限
无锡学院,,电气工程及其自动化(无锡校区),569分,85415名,2人,物
无锡学院,,遥感科学与技术(无锡校区),568分,86819名,2人,地
无锡学院,,市场营销(无锡校区),567分,87523名,2人,不限
无锡学院,,物流管理(无锡校区),567分,88177名,2人,不限
无锡学院,,网络工程(无锡校区),567分,87642名,2人,物
无锡学院,,人工智能(无锡校区),567分,87393名,2人,物
无锡学院,,自动化(无锡校区),566分,88833名,2人,物
无锡学院,,测绘工程(无锡校区),566分,88506名,2人,地
无锡学院,,电子科学与技术(无锡校区),565分,89434名,2人,物
无锡学院,,机器人工程(无锡校区),565分,90029名,2人,物
无锡学院,,大气科学(无锡校区),565分,89645名,3人,物
无锡学院,,光电信息科学与工程(无锡校区),565分,89593名,2人,物
无锡学院,,微电子科学与工程(无锡校区),563分,92196名,2人,物
无锡学院,,车辆工程(无锡校区),562分,93251名,2人,物
无锡学院,,机械电子工程(无锡校区),561分,93857名,2人,物
无锡学院,,轨道交通信号与控制(无锡校区),560分,95202名,2人,物
郑州航空工业管理学院,,工商管理类(龙子湖校区.含会计学，会计学(注册会计师方向)，财务管理，审计学，工商管理，人力资源管理，市场营销专业),562分,93316名,4人,不限
郑州航空工业管理学院,,经济学类(龙子湖校区.含经济学，经济统计学专业),562分,93745名,2人,不限
郑州航空工业管理学院,,计算机类(龙子湖校区.含计算机科学与技术，软件工程，网络工程专业),548分,108301名,2人,物
郑州航空工业管理学院,,电气工程及其自动化(龙子湖校区),547分,110283名,2人,物
郑州航空工业管理学院,,人工智能(龙子湖校区),543分,114206名,2人,物
郑州航空工业管理学院,,工业工程类(龙子湖校区.含工业工程，质量管理工程专业),543分,114912名,3人,物/化
郑州航空工业管理学院,,飞行器动力工程(龙子湖校区),541分,116714名,2人,物
郑州航空工业管理学院,,材料类(龙子湖校区.含材料科学与工程，功能材料，材料成型及控制工程专业),536分,121965名,3人,物
哈尔滨金融学院,,会计学,559分,96930名,2人,不限
哈尔滨金融学院,,金融学,551分,105704名,2人,不限
哈尔滨金融学院,,投资学,548分,108528名,4人,不限
哈尔滨金融学院,,财务管理,546分,110633名,4人,物/化
哈尔滨金融学院,,保险学,545分,112242名,6人,不限
哈尔滨金融学院,,计算机科学与技术,543分,114185名,2人,物
北华大学,,汉语国际教育(高新校区),573分,81532名,2人,不限
湖北文理学院,,汉语言文学,573分,80828名,3人,史/政/地
淮阴师范学院,,法学(交通路校区),573分,80921名,6人,不限
上海健康医学院,,智能影像工程,573分,80728名,10人,物/化/生
山东工商学院,,新闻传播学类(含编辑出版学广告学专业),573分,81229名,1人,不限
山东工商学院,,审计学,573分,81469名,1人,不限
池州学院,,英语(师范)(要求高考英语成绩不低于110分),573分,81127名,2人,不限
嘉兴南湖学院,,汉语言文学,573分,80935名,34人,不限
河北工程大学,,电子信息工程,569分,85122名,3人,物
河北工程大学,,通信工程,568分,86476名,2人,物
河北工程大学,,自动化,568分,86952名,2人,物
河北工程大学,,光电信息科学与工程,567分,88047名,2人,物
河北工程大学,,机械设计制造及其自动化,567分,87226名,2人,物
河北工程大学,,工商管理,566分,88588名,2人,不限
河北工程大学,,能源与动力工程,564分,90495名,2人,物
河北工程大学,,交通工程,564分,90803名,2人,物/化
河北工程大学,,化学工程与工艺,563分,92109名,2人,物/化/生
河北工程大学,,土木工程,562分,92865名,2人,物
河北工程大学,,风景园林(要求考生有一定的美术基础),561分,94623名,2人,物/生/地
河北工程大学,,水利水电工程,559分,96239名,2人,物
河北工程大学,,建筑环境与能源应用工程,553分,103116名,2人,物
河北工程大学,,给排水科学与工程,552分,104202名,2人,物
河北工程大学,,车辆工程,552分,103702名,2人,物
河北工程大学,,过程装备与控制工程,551分,105481名,2人,物
河北工程大学,,环境工程,549分,107655名,2人,物
河北工程大学,,安全工程,549分,107621名,2人,物
河北工程大学,,工程管理,548分,108574名,2人,物
九江学院,,临床医学,573分,81143名,4人,化+生
华北科技学院,,应急管理,567分,87223名,2人,物
华北科技学院,,会计学,562分,93197名,3人,不限
华北科技学院,,计算机科学与技术,558分,97250名,2人,物
华北科技学院,,网络与新媒体,555分,101012名,9人,不限
华北科技学院,,电子商务,554分,102128名,5人,不限
华北科技学院,,汉语国际教育,553分,103397名,8人,不限
华北科技学院,,自动化,552分,103940名,3人,物
华北科技学院,,电气工程及其自动化,550分,106777名,2人,物
华北科技学院,,英语,549分,107274名,6人,不限
华北科技学院,,供应链管理,549分,107870名,6人,不限
华北科技学院,,安全工程,548分,108714名,3人,物
华北科技学院,,电子信息工程,545分,112088名,5人,物
华北科技学院,,机械设计制造及其自动化,545分,112267名,2人,物
华北科技学院,,城市地下空间工程,539分,118868名,2人,物
华北科技学院,,材料成型及控制工程,537分,121526名,5人,物
华北科技学院,,应急装备技术与工程,537分,120892名,5人,物
华北科技学院,,安全生产监管,536分,121830名,4人,物
华北科技学院,,土木工程,536分,121811名,6人,物
华北科技学院,,消防工程,533分,125228名,5人,物
中原工学院,,计算机类(龙湖校区.含计算机科学与技术，信息安全，网络工程专业),556分,99593名,4人,物
中原工学院,,建筑学(人学后需加试徒手画龙湖校区),555分,101418名,6人,物/史/化
中原工学院,,英语(龙湖校区),552分,104517名,6人,不限
中原工学院,,电气工程及其自动化(龙湖校区),549分,107390名,4人,物
中原工学院,,机械类(龙湖校区.含机械设计制造及其自动化，机械电子工程，车辆工程专业),548分,108718名,4人,物
中原工学院,,环境工程(龙湖校区),548分,108421名,6人,物/化/生
中原工学院,,会展经济与管理(龙湖校区),545分,112423名,6人,不限
中原工学院,,日语(龙湖校区),545分,112429名,6人,不限
中原工学院,,纺织工程(龙湖校区),540分,117234名,8人,物/化
中原工学院,,安全工程(龙湖校区),538分,120017名,6人,物
中原工学院,,物联网工程(龙湖校区),521分,139369名,6人,物+化
中原工学院,,化学工程与工艺(龙湖校区),490分,172313名,6人,物+化
新疆师范大学,,历史学(师范)(温泉校区),573分,81448名,2人,史/地
重庆文理学院,,商务英语(第一学年在星湖校区就读.要求高考英语成绩不低于105分),569分,85994名,2人,不限
重庆文理学院,,会展经济与管理(星湖校区),566分,88945名,2人,不限
重庆文理学院,,药学(红河校区),566分,88829名,4人,物/化/生
重庆文理学院,,金融数学(红河校区),564分,90538名,2人,不限
重庆文理学院,,电气工程及其自动化(红河校区),562分,93387名,2人,物
重庆文理学院,,电子信息科学与技术(红河校区),559分,95970名,2人,物
重庆文理学院,,风景园林(星湖校区),559分,96078名,2人,史/生/地
重庆文理学院,,网络工程(红河校区),558分,97380名,2人,物
重庆文理学院,,智能电网信息工程(红河校区),552分,104050名,2人,物
重庆文理学院,,机器人工程(红河校区),551分,105104名,2人,物
重庆文理学院,,环境科学(红河校区),548分,109315名,3人,化
重庆文理学院,,工程审计(第一学年在星湖校区就读),547分,109680名,2人,物
重庆文理学院,,土木工程(红河校区),543分,114492名,4人,物
重庆文理学院,,材料科学与工程(红河校区),543分,113968名,5人,物
沈阳工程学院,,电气工程及其自动化,632分,24087名,2人,物
沈阳工程学院,,能源与动力工程,560分,95217名,2人,物
沈阳工程学院,,自动化,560分,94906名,2人,物
沈阳工程学院,,核工程与核技术,547分,109546名,4人,物
沈阳工程学院,,热能动力工程技术(中外合作办学),488分,175424名,6人,不限
