最终用户,商机项目名称,合同编号生成日期,物料描述,大型号,数量,销售单价
万华化学集团物资有限公司,项目,2023-03-27,"定制成品,PMC-550A-CXW6B5FCA,V5,万华,变频起动网线1m白头",PMC-550A,10,1200
万华化学集团物资有限公司,项目,2023-03-27,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,2,1200
万华化学集团物资有限公司,项目,2023-03-24,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,91,1200
万华化学集团物资有限公司,项目,2023-03-24,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,28,1200
山东华鲁恒升化工股份有限公司,华鲁恒升低压电动机保护,2023-03-23,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,2,2280
商丘中电环保发电有限公司,商丘市生活垃圾焚烧发电项目(二期) 项目,2023-03-15,"成品,PMC-550A-CXW6B5FCA,V5,白头",PMC-550A,16,1800
万华化学集团物资有限公司,项目,2023-03-14,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,207,1200
万华化学集团物资有限公司,项目,2023-03-14,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,141,1200
万华化学集团物资有限公司,项目,2023-03-14,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线2m常闭白头",PMC-550A,4,1200
万华化学集团物资有限公司,项目（四川）,2023-03-10,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线2m常闭白头",PMC-550A,7,1200
万华化学集团物资有限公司,项目（四川）,2023-03-10,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,132,1200
万华化学集团物资有限公司,项目（四川）,2023-03-10,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,127,1200
四川天华股份有限公司,备件采购,2023-03-09,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,1,1250
陕西金泰氯碱神木化工有限公司,60万吨高性能树脂配套项目-70万吨电石渣锻炼还原氧化钙联产脱硫剂装置,2023-03-08,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,72,1000
连云港圣奥化学科技有限公司,聚合物添加剂项目,2023-03-06,"成品,PMC-550A-CXW6B5FBA-F,V5,白头",PMC-550A,11,1086
万华化学集团物资有限公司,项目,2023-03-06,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,40,1200
万华化学集团物资有限公司,项目,2023-03-06,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,6,1200
万华化学（四川）有限公司,扩建项目,2023-02-27,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,(5),1509
万华化学（四川）有限公司,扩建项目,2023-02-27,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,(1),1509
万华化学（四川）有限公司,万华眉山项目,2023-02-27,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,(1),1509
万华化学（四川）有限公司,万华眉山项目,2023-02-27,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,2,1509
上海华谊新材料有限公司,改造项目,2023-02-28,"成品,PMC-550A-CXW6B5EBA,V4,无DC220V控制",PMC-550A,32,1200
山东电建建设集团有限公司,中国电建山东电建一公司缅甸皎漂电站6.6kV中压开关柜,2023-02-27,"成品,PMC-550A-EXW6B5FBA,V5,白头",PMC-550A,4,1250
上海华谊新材料有限公司,改造项目,2023-02-15,"成品,PMC-550A-CXW6B5EBA,V5,白头",PMC-550A,1,1200
中国石油天然气股份有限公司大庆炼化分公司,项目,2023-02-13,"定制成品,PMC-550A-CXW6B5FBA,V5,网线4M,白头",PMC-550A,2,1050
万华化学（福建）有限公司,项目,2023-02-09,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,4,1509
华能荆门热电有限责任公司,华能荆门热电厂技改项目,2023-02-08,"成品,PMC-550A-CXW6B5FDB,V5,白头",PMC-550A,50,1950
临沂方兴食品有限公司,配电技改项目,2023-02-02,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,2,1265
晋能控股装备制造集团华昱能源化工山西有限责任公司,一体化循环水余压发电项目,2023-01-31,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,3,1800
四川天华股份有限公司,备件采购,2023-01-10,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,3,1250
曲靖黑金能源有限公司,100万吨焦化转型升级项目,2023-01-05,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,2,1500
万华化学（福建）有限公司,项目,2023-01-04,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,10,1509
河南金玉锋生物科技有限公司,热电联产项目,2023-01-04,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,5,1200
万华化学集团物资有限公司,项目,2023-01-04,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,4,1509
万华化学集团物资有限公司,项目,2023-01-03,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,2,1509
万华化学集团物资有限公司,项目,2023-01-03,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,32,1509
万华化学集团物资有限公司,项目,2023-01-03,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,12,1509
万华化学集团物资有限公司,项目,2023-01-03,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,3,1509
万华化学集团物资有限公司,项目,2023-01-03,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,6,1509
万华化学集团物资有限公司,项目,2023-01-03,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭白头",PMC-550A,41,1509
万华化学集团物资有限公司,项目,2023-01-03,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,84,1509
万华化学集团物资有限公司,项目,2023-01-03,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭白头",PMC-550A,25,1509
万华化学集团物资有限公司,项目,2023-01-03,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭白头",PMC-550A,6,1509
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2023-12-28,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,16,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2023-12-28,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,186,1200
陆丰宝丽华新能源电力有限公司,广东陆丰甲湖湾电厂3、4号机组扩建工程(2×1000MW级)超超临界燃煤汽轮发电机组,2023-12-25,"成品,PMC-550A-CXW6B5FDB,V5,白头",PMC-550A,261,1200
万华化学（四川）有限公司,扩建项目,2023-12-18,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭白头",PMC-550A,2,1200
阿里巴巴客户,,2023-12-11,"成品,PMC-550A-CXW6B5FBA,V5,白头",PMC-550A,1,1300
中节能（象山）环保能源有限公司,象山中节能泰来环保能源有限公司象山生活垃圾焚烧发电,2023-12-12,"成品,PMC-550A-CXW6B5FCA,V5,DO2常闭,白头",PMC-550A,2,1250
万华化学集团物资有限公司,增补项目,2024-04-30,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,4,1200
万华化学集团物资有限公司,增补项目,2024-04-29,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,6,1200
万华化学集团物资有限公司,增补项目,2024-04-26,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,3,1200
万华化学集团物资有限公司,增补项目,2024-04-26,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,1,1200
万华化学（四川）有限公司,扩建项目,2024-04-26,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,2,1500
万华化学（四川）有限公司,扩建项目,2024-04-26,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,10,1500
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-04-22,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,12,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-04-22,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,25,1200
万华化学集团物资有限公司,增补项目,2024-04-16,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,42,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-04-15,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,20,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-04-15,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,16,1200
万华化学集团物资有限公司,增补项目,2024-04-12,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,4,1200
万华化学集团物资有限公司,增补项目,2024-04-12,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,1,1200
万华化学集团物资有限公司,增补项目,2024-04-10,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,44,1200
万华化学集团物资有限公司,增补项目,2024-04-10,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,51,1200
江铜国兴（烟台）铜业有限公司,余热发电系统项目,2024-04-03,"成品,PMC-550A-CXW6B5FCA,V5,白头",PMC-550A,6,1580
山西凯美达科技有限公司,,2024-03-14,"成品,PMC-550A-CXW3B5FBA,V4,无DC220V控制",PMC-550A,2,3000
万华化学集团物资有限公司,增补项目,2024-04-03,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,15,1200
万华化学集团物资有限公司,增补项目,2024-04-03,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,45,1200
万华化学集团物资有限公司,增补项目,2024-04-01,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,2,1200
万华化学集团物资有限公司,增补项目,2024-04-01,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,5,1200
万华化学集团物资有限公司,增补项目,2024-04-01,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,6,1200
云南水富云天化有限公司,本质安全改造项目,2024-03-29,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,3,1050
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-29,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,36,1200
万华化学集团物资有限公司,增补项目,2024-03-29,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,332,1200
万华化学集团物资有限公司,增补项目,2024-03-29,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,224,1200
万华化学集团物资有限公司,增补项目,2024-03-29,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,51,1200
万华化学集团物资有限公司,增补项目,2024-03-29,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,23,1200
万华化学集团物资有限公司,增补项目,2024-03-28,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,1,1200
万华化学（烟台）氯碱热电有限公司,增补项目,2024-03-28,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,1,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-26,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,86,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-26,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,2,1200
万华化学集团物资有限公司,增补项目,2024-03-25,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,39,1200
万华化学集团物资有限公司,增补项目,2024-03-25,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,30,1200
万华化学集团物资有限公司,增补项目,2024-03-25,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,4,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-25,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,35,1200
应城宏宜化工科技有限公司,空分循环水余压发电项目,2024-03-22,"成品,PMC-550A-CXW6B5FCA,V5,黑头",PMC-550A,3,2200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-21,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,8,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-14,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,1,1200
尧都高新技术产业开发区建设投资有限公司,尧都高新技术产业开发区贾得新兴产业园供水厂(一期)及配套管网建设工程,2024-01-24,"成品,PMC-550A-CXW3B5FBA,V4,无DC220V控制",PMC-550A,2,1400
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-11,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,2,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-11,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,1,1200
山东华鲁恒升化工股份有限公司,低压电动机保护,2024-03-07,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,8,1000
万华化学（四川）有限公司,扩建项目,2024-03-06,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,10,1200
万华化学（四川）有限公司,扩建项目,2024-03-06,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,46,1200
万华化学（四川）有限公司,扩建项目,2024-03-06,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,35,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-06,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,25,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-06,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,13,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-06,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,44,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-03-06,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,2,1200
云南云天化红磷化工有限公司,4万吨/年设施农业用磷酸二氢钾项目,2024-03-01,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,6,1050
万华化学（四川）有限公司,扩建项目,2024-02-26,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,6,1200
万华化学（福建）有限公司,增补项目,2024-02-23,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,1,1200
启东选锋机械设备有限公司,,2024-02-22,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,21,2820
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-02-22,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,190,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-02-22,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,51,1200
万华化学（四川）有限公司,扩建项目,2024-02-18,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,6,1200
万华化学（四川）有限公司,扩建项目,2024-02-18,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,5,1200
万华化学（四川）有限公司,扩建项目,2024-02-18,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,11,1200
万华化学（四川）有限公司,扩建项目,2024-02-18,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,12,1200
山东华鲁恒升化工股份有限公司,华鲁恒升低压电动机保护,2024-02-07,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,5,1000
万华化学（四川）有限公司,扩建项目,2024-02-06,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,10,1200
万华化学（四川）有限公司,扩建项目,2024-02-06,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,2,1200
万华化学（四川）有限公司,扩建项目,2024-02-05,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,2,1281
山东华鲁恒升化工股份有限公司,华鲁恒升低压电动机保护,2024-02-04,"成品,PMC-550A-CXW6B5FBA,V5,黑头",PMC-550A,2,2000
万华化学（四川）有限公司,扩建项目,2024-02-04,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,27,1200
万华化学（四川）有限公司,扩建项目,2024-02-04,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,86,1200
鲁西集团有限公司,鲁西化工高压柜制作,2024-02-02,"成品,PMC-550A-CXW6B5FCA,V5,黑头",PMC-550A,6,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-02-01,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,1,1200
万华化学集团物资有限公司,项目,2024-01-30,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,8,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-30,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,36,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-26,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,26,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-26,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,386,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-25,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,400,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-25,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,12,1200
河北阳煤正元化工集团有限公司,河北正元氢能科技有限公司煤炭清洁高效综合利用项目,2024-01-24,"成品,PMC-550A-CXW6B5EBA,V4,无DC220V控制",PMC-550A,23,1400
万华化学（福建）有限公司,项目,2024-01-23,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,2,1200
万华化学集团物资有限公司,增补项目,2024-01-22,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,25,1200
万华化学集团物资有限公司,增补项目,2024-01-22,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,36,1200
万华化学集团物资有限公司,增补项目,2024-01-22,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,1,1200
万华化学（宁波）有限公司,项目,2024-01-22,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,8,1200
万华化学（宁波）有限公司,项目,2024-01-22,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,2,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-16,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,46,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-16,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,28,1200
山东卓越高新材料科技有限公司,余热综合利用发电项目,2024-01-12,"成品,PMC-550A-CXW3B5FAA,V4,无DC220V控制",PMC-550A,2,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-12,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,20,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-12,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,33,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-12,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,2,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-12,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,30,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-11,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,18,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-11,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,30,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-11,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,68,1200
万华化学集团物资有限公司,项目,2024-01-11,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,24,1200
万华化学集团物资有限公司,项目,2024-01-11,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,37,1200
中国石油化工股份有限公司齐鲁分公司,备品备件采购,2024-01-08,"成品,PMC-550A-CXW6B5FBA-F,V5,黑头",PMC-550A,1,1692
万华化学（四川）有限公司,扩建项目,2024-01-04,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华直接网线1M常闭黑头",PMC-550A,93,1200
万华化学（四川）有限公司,扩建项目,2024-01-04,"定制成品,PMC-550A-CXW3B5FCA-F,V5万华变频网线1M常闭黑头",PMC-550A,41,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-02,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华变频网线1m常闭黑头",PMC-550A,83,1200
万华化学（蓬莱）有限公司,万华蓬莱工业园高性能新材料一体化项目（山东烟台）,2024-01-02,"定制成品,PMC-550A-CXW6B5FCA-F,V5万华直接网线1m常闭黑头",PMC-550A,302,1200
