4-13全国分性别、职业小类、周工作时间的正在工作人口-职业小类性别-职业小类性别-职业小类性别,单位：人-合计-合计-合计,1-8小时-1-8小时-1-8小时,9-19小时-9-19小时-9-19小时,20-34小时,35小时,36-39小时,40小时-40小时-40小时,41-47小时-41-47小时-41-47小时,48小时-48小时-48小时,48小时以上,周平均-工作时间-(小时)
环境保护工程技术人员,5454,14.0,7.0,55.0,115.0,43.0,3950,93.0,432,745,43
安全工程技术人员,12465,15.0,19.0,152.0,125.0,90.0,6933,285.0,1511,3335,46
标准化、计量、质量工程技术人员,15314,18.0,23.0,171.0,183.0,84.0,8905,372.0,2132,3426,45
管理（工业）工程技术人员,43231,75.0,62.0,529.0,329.0,213.0,21261,1139.0,6908,12715,46
其他工程技术人员,23420,42.0,44.0,334.0,206.0,148.0,13167,671.0,3127,5681,45
农业技术人员,40771,182.0,501.0,3008.0,830.0,379.0,18539,1332.0,3252,12748,44
土壤肥料技术人员,4593,17.0,82.0,546.0,61.0,36.0,2201,87.0,360,1203,43
植物保护技术人员,3428,12.0,35.0,156.0,74.0,32.0,1825,103.0,322,869,44
园艺技术人员,9616,23.0,75.0,634.0,175.0,103.0,4204,383.0,975,3044,45
作物遗传育种栽培技术人员,1956,5.0,13.0,59.0,31.0,13.0,936,53.0,125,721,46
兽医、兽药技术人员,8569,30.0,86.0,623.0,173.0,89.0,3873,314.0,673,2708,45
畜牧与草业技术人员,3662,29.0,64.0,336.0,96.0,31.0,1417,157.0,287,1245,45
其他农业技术人员,8947,66.0,146.0,654.0,220.0,75.0,4083,235.0,510,2958,44
飞机和船舶技术人员,12015,26.0,66.0,465.0,104.0,105.0,5078,293.0,986,4892,49
飞行人员和领航人员,2282,12.0,23.0,210.0,38.0,28.0,1213,72.0,176,510,43
船舶指挥和引航人员,6806,9.0,36.0,220.0,44.0,50.0,2056,161.0,496,3734,53
其他飞机和船舶技术人员,2927,5.0,7.0,35.0,22.0,27.0,1809,60.0,314,648,45
卫生专业技术人员,260815,678.0,905.0,7694.0,4407.0,2689.0,134131,10866.0,24686,74759,45
西医医师,122077,261.0,369.0,3063.0,1974.0,1174.0,65383,4942.0,11514,33397,45
中医医师,24489,70.0,106.0,870.0,395.0,273.0,12131,1051.0,2424,7169,45
中西医结合医师,35800,121.0,163.0,1344.0,607.0,360.0,15749,1576.0,3206,12674,47
民族医生,1736,8.0,8.0,85.0,33.0,14.0,740,88.0,160,600,46
公共卫生医师,7718,30.0,37.0,316.0,128.0,74.0,3566,305.0,714,2548,46
药剂人员,14292,36.0,38.0,274.0,244.0,161.0,8279,657.0,1556,3047,44
医疗技术人员,22160,50.0,66.0,645.0,425.0,264.0,12070,978.0,2034,5628,45
护理人员,15295,54.0,54.0,476.0,240.0,176.0,7497,594.0,1599,4605,46
其他卫生专业技术人员,17248,48.0,64.0,621.0,361.0,193.0,8716,675.0,1479,5091,45
经济业务人员,273546,575.0,577.0,5429.0,4393.0,1892.0,164788,7462.0,30046,58384,44
经济计划人员,15921,41.0,61.0,484.0,223.0,106.0,8183,449.0,1815,4559,46
统计人员,21346,38.0,38.0,440.0,356.0,137.0,12537,500.0,2485,4815,44
会计人员,208391,430.0,427.0,3991.0,3295.0,1483.0,126201,5767.0,22776,44021,44
审计人员,8766,15.0,9.0,110.0,217.0,58.0,6782,163.0,591,821,42
国际商务人员,4352,3.0,3.0,49.0,53.0,11.0,2936,142.0,650,505,43
其他经济业务人员,14770,48.0,39.0,355.0,249.0,97.0,8149,441.0,1729,3663,45
金融业务人员,168776,352.0,318.0,3426.0,3232.0,1125.0,118503,4043.0,14571,23206,43
银行业务人员,97095,194.0,105.0,1304.0,2028.0,621.0,72955,2073.0,7059,10756,42
保险业务人员,46252,114.0,156.0,1075.0,667.0,333.0,27527,1383.0,5569,9428,44
证券业务人员,12710,19.0,32.0,656.0,271.0,96.0,9173,296.0,920,1247,41
其他金融业务人员,12719,25.0,25.0,391.0,266.0,75.0,8848,291.0,1023,1775,42
法律专业人员,41675,88.0,64.0,806.0,1028.0,223.0,32490,761.0,2066,4149,42
法官,10255,23.0,10.0,150.0,304.0,65.0,8302,149.0,370,882,41
检察官,5907,11.0,3.0,90.0,182.0,34.0,4969,71.0,189,358,41
律师,14623,33.0,34.0,355.0,255.0,64.0,10779,346.0,966,1791,42
公证员,1163,3.0,1.0,26.0,26.0,8.0,883,22.0,75,119,42
司法鉴定人员,1367,4.0,3.0,17.0,28.0,8.0,1087,28.0,62,130,42
书记员,2251,2.0,2.0,39.0,60.0,11.0,1787,28.0,110,212,42
其他法律专业人员,6109,12.0,11.0,129.0,173.0,33.0,4683,117.0,294,657,42
教学人员,616371,2395.0,3138.0,19978.0,10593.0,4552.0,446403,15469.0,35375,78468,42
高等教育教师,79467,391.0,470.0,1945.0,1654.0,450.0,65899,1233.0,2838,4587,41
中等职业教育教师,42290,156.0,153.0,982.0,807.0,295.0,31538,1006.0,2613,4740,42
中学教师,265215,795.0,1106.0,7472.0,3877.0,1827.0,192623,7014.0,16044,34457,42
小学教师,181186,531.0,951.0,7953.0,3431.0,1616.0,127688,4891.0,9481,24644,42
幼儿教师,8796,45.0,48.0,367.0,138.0,75.0,5049,305.0,797,1972,44
特殊教育教师,2820,26.0,33.0,70.0,49.0,17.0,1925,67.0,205,428,42
其他教学人员,36597,451.0,377.0,1189.0,637.0,272.0,21681,953.0,3397,7640,43
文学艺术工作人员,66095,217.0,462.0,2409.0,833.0,436.0,32904,2304.0,9307,17223,45
文艺创作和评论人员,1478,12.0,12.0,81.0,22.0,16.0,895,56.0,114,270,42
编导和音乐指挥人员,1596,9.0,9.0,62.0,26.0,5.0,1091,48.0,103,243,43
演员,5971,51.0,150.0,736.0,208.0,59.0,2981,219.0,380,1187,41
乐器演奏员,2832,44.0,137.0,549.0,74.0,51.0,1096,86.0,158,637,40
电影、电视制作及舞台专业人员,4358,9.0,20.0,134.0,62.0,22.0,2887,121.0,371,732,43
美术专业人员,4607,18.0,35.0,156.0,45.0,34.0,2035,171.0,583,1530,46
工艺美术专业人员,42565,60.0,66.0,551.0,343.0,227.0,20524,1498.0,7327,11969,46
其他文学艺术工作人员,2688,14.0,33.0,140.0,53.0,22.0,1395,105.0,271,655,44
体育工作人员,2840,11.0,25.0,129.0,52.0,32.0,1815,81.0,284,411,42
体育工作人员,2840,11.0,25.0,129.0,52.0,32.0,1815,81.0,284,411,42
新闻出版、文化工作人员,40105,105.0,77.0,640.0,747.0,242.0,29358,922.0,2828,5186,42
记者,10580,24.0,10.0,125.0,199.0,46.0,7881,220.0,698,1377,43
编辑,12684,23.0,17.0,166.0,216.0,93.0,9761,296.0,839,1273,42
校对员,1257,,3.0,30.0,15.0,11.0,831,40.0,133,194,43
播音员及节目主持人,2031,7.0,18.0,58.0,49.0,12.0,1360,45.0,150,332,43
翻译,2994,6.0,9.0,62.0,32.0,16.0,1949,75.0,306,539,43
图书资料与档案业务人员,5066,32.0,7.0,82.0,122.0,36.0,3830,99.0,274,584,42
考古及文物保护工作人员,687,1.0,5.0,12.0,14.0,5.0,519,7.0,31,93,42
其他新闻出版、文化工作人员,4806,12.0,8.0,105.0,100.0,23.0,3227,140.0,397,794,43
宗教职业者,9606,234.0,598.0,1976.0,274.0,159.0,2326,560.0,631,2848,40
宗教职业者,9606,234.0,598.0,1976.0,274.0,159.0,2326,560.0,631,2848,40
其他专业技术人员,28226,79.0,75.0,604.0,296.0,199.0,13195,971.0,3799,9008,47
其他专业技术人员,28226,79.0,75.0,604.0,296.0,199.0,13195,971.0,3799,9008,47
办事人员和有关人员,2062684,3728.0,2994.0,31617.0,32383.0,13717.0,1224708,50899.0,224939,477699,45
行政办公人员,1077556,1947.0,1111.0,14180.0,21897.0,6271.0,772465,21750.0,89340,148595,43
行政业务人员,566056,1019.0,621.0,7487.0,12212.0,3236.0,415107,10763.0,40566,75045,43
行政事务人员,387645,713.0,338.0,4879.0,7175.0,2207.0,274299,8202.0,36409,53423,43
其他行政办公人员,123855,215.0,152.0,1814.0,2510.0,828.0,83059,2785.0,12365,20127,43
安全保卫和消防人员,750112,1232.0,1404.0,13071.0,6666.0,5824.0,315053,22740.0,109190,274932,48
人民警察,134794,202.0,97.0,1410.0,2296.0,610.0,95106,2486.0,10090,22497,44
治安保卫人员,530185,822.0,1132.0,9976.0,3663.0,4470.0,187320,17529.0,86620,218653,49
消防人员,8881,24.0,12.0,118.0,94.0,77.0,4909,218.0,941,2488,46
其他安全保卫和消防人员,76252,184.0,163.0,1567.0,613.0,667.0,27718,2507.0,11539,31294,49
邮政和电信业务人员,89680,232.0,197.0,1759.0,1390.0,688.0,49970,2786.0,11146,21512,45
邮政业务人员,33008,80.0,97.0,784.0,459.0,252.0,17737,1046.0,4463,8090,45
电信业务人员,31601,98.0,53.0,539.0,525.0,253.0,18510,969.0,3632,7022,44
电信通信传输业务人员,16889,33.0,22.0,293.0,273.0,116.0,9699,500.0,1936,4017,45
其他邮政和电信业务人员,8182,21.0,25.0,143.0,133.0,67.0,4024,271.0,1115,2383,46
其他办事人员和有关人员,145336,317.0,282.0,2607.0,2430.0,934.0,87220,3623.0,15263,32660,45
其他办事人员和有关人员,145336,317.0,282.0,2607.0,2430.0,934.0,87220,3623.0,15263,32660,45
商业、服务业人员,5547801,13077.0,29679.0,219074.0,62714.0,44991.0,1623739,215913.0,626430,2712184,50
购销人员,3128420,6696.0,16020.0,121276.0,35633.0,24522.0,888422,123224.0,339747,1572880,50
营业人员,2180487,4883.0,12057.0,88020.0,24798.0,17465.0,554902,86994.0,220386,1170982,51
推销、展销人员,538071,1033.0,1610.0,13920.0,5063.0,3405.0,215599,19005.0,78088,200348,48
采购人员,94641,171.0,359.0,3229.0,1094.0,733.0,34657,3559.0,12906,37933,48
拍卖、典当及租赁业务人员,5489,46.0,65.0,315.0,85.0,31.0,2086,162.0,605,2094,47
废旧物资回收利用人员,126227,219.0,808.0,7656.0,1887.0,1349.0,23985,6045.0,10342,73936,51
粮油管理人员,5337,14.0,50.0,264.0,82.0,37.0,2212,220.0,497,1961,47
商品监督和市场管理人员,37252,73.0,79.0,682.0,490.0,252.0,17676,1179.0,4970,11851,47
其他购销人员,140916,257.0,992.0,7190.0,2134.0,1250.0,37305,6060.0,11953,73775,50
仓储人员,230211,409.0,561.0,4567.0,1718.0,1483.0,87893,7718.0,38641,87221,48
保管人员,160363,249.0,287.0,2368.0,1110.0,970.0,64893,5103.0,28427,56956,48
储运人员,57503,130.0,242.0,1906.0,509.0,423.0,18626,2153.0,8214,25300,49
其他仓储人员,12345,30.0,32.0,293.0,99.0,90.0,4374,462.0,2000,4965,49
餐饮服务人员,679680,1553.0,3366.0,24241.0,7124.0,5033.0,161367,26983.0,80511,369502,51
中餐烹饪人员,364240,746.0,1620.0,11743.0,3511.0,2560.0,84459,13925.0,41967,203709,52
西餐烹饪人员,11616,22.0,43.0,260.0,91.0,75.0,3239,451.0,1761,5674,51
调酒和茶艺人员,3625,7.0,17.0,137.0,36.0,39.0,1160,160.0,506,1563,49
营养配餐人员,4603,8.0,38.0,135.0,41.0,22.0,1353,177.0,593,2236,50
餐厅服务人员,220392,605.0,1205.0,8621.0,2253.0,1737.0,53935,9026.0,28264,114746,51
其他餐饮服务人员,75204,165.0,443.0,3345.0,1192.0,600.0,17221,3244.0,7420,41574,51
饭店、旅游及健身娱乐场所服务人员,158327,463.0,850.0,5447.0,1622.0,1147.0,48751,5983.0,20465,73599,50
饭店服务人员,98273,268.0,560.0,3559.0,946.0,715.0,28807,3660.0,12126,47632,50
旅游及公共游览场所服务人员,16617,60.0,78.0,553.0,200.0,132.0,8271,558.0,2059,4706,45
健身和娱乐场所服务人员,31359,110.0,128.0,870.0,326.0,218.0,8314,1286.0,4823,15284,51
其他饭店、旅游及健身娱乐场所服务人员,12078,25.0,84.0,465.0,150.0,82.0,3359,479.0,1457,5977,50
运输服务人员,530152,1233.0,2553.0,24365.0,6875.0,5687.0,175172,21094.0,53381,239792,49
公路、道路运输服务人员,375982,901.0,1938.0,18806.0,5043.0,4072.0,113570,15584.0,37417,178651,49
铁路客货运输服务人员,47477,103.0,94.0,1112.0,445.0,545.0,27708,1387.0,5066,11017,45
航空运输服务人员,7035,26.0,22.0,178.0,66.0,90.0,4579,211.0,735,1128,43
水上运输服务人员,13915,26.0,61.0,526.0,175.0,126.0,6019,493.0,1432,5057,47
其他运输服务人员,85743,177.0,438.0,3743.0,1146.0,854.0,23296,3419.0,8731,43939,50
医疗卫生辅助服务人员,16361,55.0,91.0,563.0,253.0,124.0,7185,714.0,1637,5739,47
医疗卫生辅助服务人员,16361,55.0,91.0,563.0,253.0,124.0,7185,714.0,1637,5739,47
社会服务和居民生活服务人员,679937,2227.0,5395.0,33016.0,7982.0,5823.0,217695,25412.0,79262,303125,49
社会中介服务人员,30358,85.0,179.0,1212.0,310.0,254.0,13648,1036.0,3689,9945,46
物业管理人员,68582,498.0,654.0,2379.0,723.0,494.0,32506,2025.0,9675,19628,46
供水、供热及生活燃料供应服务人员,64332,112.0,204.0,1582.0,745.0,459.0,28188,1832.0,6897,24313,48
美容美发人员,111821,257.0,758.0,5017.0,1075.0,962.0,22558,4159.0,10391,66644,53
摄影服务人员,17825,42.0,137.0,744.0,179.0,141.0,5390,613.0,1976,8603,49
验光配镜人员,2342,4.0,3.0,42.0,21.0,13.0,682,94.0,380,1103,51
洗染织补人员,11740,29.0,62.0,550.0,113.0,95.0,2745,498.0,1391,6257,51
浴池服务人员,20668,61.0,131.0,970.0,189.0,169.0,4751,797.0,2247,11353,52
印章刻字人员,2073,7.0,13.0,85.0,21.0,11.0,639,71.0,249,977,49
日用机电产品维修人员,100544,227.0,688.0,5045.0,1132.0,996.0,24946,4398.0,11190,51922,50
办公设备维修人员,13386,29.0,34.0,311.0,147.0,88.0,5337,461.0,2062,4917,48
保育、家庭服务人员,16672,111.0,389.0,1576.0,267.0,200.0,4895,713.0,1761,6760,46
环境卫生人员,130045,399.0,1152.0,7365.0,1813.0,1101.0,44565,5216.0,18669,49765,47
殡葬服务人员,5228,52.0,123.0,685.0,97.0,71.0,1719,184.0,467,1830,44
其他社会服务和居民生活服务人员,84321,314.0,868.0,5453.0,1150.0,769.0,25126,3315.0,8218,39108,49
其他商业、服务业人员,124713,441.0,843.0,5599.0,1507.0,1172.0,37254,4785.0,12786,60326,49
其他商业、服务业人员,124713,441.0,843.0,5599.0,1507.0,1172.0,37254,4785.0,12786,60326,49
农、林、牧、渔、水利业生产人员,16746988,155602.0,594266.0,2905214.0,504286.0,359132.0,3429815,1142934.0,1041411,6614328,44
种植业生产人员,15822000,150856.0,574718.0,2784040.0,476215.0,341809.0,3240286,1080094.0,982003,6191979,43
大田作物生产人员,14495406,145052.0,549567.0,2616135.0,440133.0,317396.0,2984059,989560.0,893664,5559840,43
农业实验人员,12909,74.0,370.0,1890.0,308.0,279.0,3301,792.0,858,5037,44
园艺作物生产人员,980783,4045.0,17737.0,121067.0,25544.0,17330.0,191149,66125.0,65790,471996,47
热带作物生产人员,50592,179.0,706.0,5462.0,2610.0,1089.0,8035,4902.0,3330,24279,47
中药材生产人员,41347,194.0,821.0,5457.0,859.0,1040.0,7852,2800.0,2986,19338,46
农副林特产品加工人员,45787,185.0,850.0,6422.0,1158.0,733.0,8995,2969.0,3508,20967,46
其他种植业生产人员,195176,1127.0,4667.0,27607.0,5603.0,3942.0,36895,12946.0,11867,90522,46
林业生产及野生动植物保护人员,115061,554.0,1922.0,13630.0,3131.0,2180.0,32410,7103.0,8503,45628,45
营造林人员,57353,301.0,1220.0,8195.0,1867.0,1226.0,15123,3772.0,4207,21442,44
森林资源管护人员,22205,111.0,213.0,1552.0,421.0,263.0,9126,888.0,1826,7805,45
野生动植物保护及自然保护区人员,1864,9.0,16.0,103.0,33.0,18.0,666,77.0,195,747,47
木材采运人员,18751,90.0,319.0,2270.0,422.0,365.0,4451,1173.0,1350,8311,46
其他林业生产及野生动植物保护人员,14888,43.0,154.0,1510.0,388.0,308.0,3044,1193.0,925,7323,47
畜牧业生产人员,548007,3121.0,13370.0,76483.0,17329.0,10270.0,100754,39090.0,31367,256223,46
家畜饲养人员,401285,2344.0,10324.0,59419.0,13748.0,7884.0,71392,30218.0,22088,183868,46
家禽饲养人员,99497,577.0,2410.0,12722.0,2496.0,1748.0,18796,6204.0,6366,48178,47
蜜蜂饲养人员,5755,42.0,132.0,852.0,146.0,81.0,1254,308.0,401,2539,46
实验动物饲养人员,518,3.0,5.0,51.0,20.0,11.0,195,36.0,39,158,44
动物疫病防治人员,7200,30.0,106.0,567.0,157.0,90.0,3137,305.0,514,2294,44
草业生产人员,1086,3.0,10.0,60.0,27.0,13.0,412,67.0,95,399,47
其他畜牧业生产人员,32666,122.0,383.0,2812.0,735.0,443.0,5568,1952.0,1864,18787,50
渔业生产人员,227626,764.0,3627.0,28542.0,7006.0,4467.0,43145,15335.0,16905,107835,47
水产养殖人员,138857,410.0,2266.0,18676.0,4506.0,2667.0,27297,10245.0,10456,62334,46
水产捕捞及有关人员,73901,310.0,1201.0,8790.0,2199.0,1605.0,12565,4458.0,4816,37957,49
水产品加工人员,11716,27.0,118.0,770.0,188.0,132.0,2683,490.0,1315,5993,49
其他渔业生产人员,3152,17.0,42.0,306.0,113.0,63.0,600,142.0,318,1551,48
水利设施管理养护人员,18839,255.0,451.0,1214.0,349.0,203.0,9645,547.0,1423,4752,43
河道、水库管养人员,9045,220.0,368.0,815.0,177.0,115.0,4120,321.0,657,2252,42
农田灌排工程建设管理维护人员,2921,16.0,44.0,197.0,51.0,25.0,1405,73.0,198,912,45
水土保持作业人员,827,1.0,3.0,38.0,12.0,7.0,494,27.0,51,194,44
水文勘测作业人员,1312,1.0,9.0,27.0,26.0,13.0,867,31.0,83,255,43
其他水利设施管理养护人员,4734,17.0,27.0,137.0,83.0,43.0,2759,95.0,434,1139,45
其他农、林、牧、渔、水利业生产人员,15455,52.0,178.0,1305.0,256.0,203.0,3575,765.0,1210,7911,49
农林专用机械操作人员,14567,50.0,169.0,1260.0,243.0,196.0,3292,732.0,1129,7496,49
农村能源开发利用人员,888,2.0,9.0,45.0,13.0,7.0,283,33.0,81,415,48
生产、运输设备操作人员及有关人员,10925262,21509.0,43458.0,387917.0,97707.0,91976.0,2954196,414860.0,1489060,5424579,50
勘测及矿物开采人员,390844,1168.0,1517.0,13150.0,3507.0,3759.0,128974,14177.0,45874,178718,48
地质勘查人员,14335,74.0,195.0,542.0,188.0,131.0,5935,507.0,1465,5298,46
测绘人员,5275,9.0,9.0,104.0,71.0,30.0,2932,132.0,586,1402,45
矿物开采人员,295933,898.0,1067.0,10483.0,2667.0,3013.0,86414,11482.0,36876,143033,49
矿物处理人员,26879,82.0,136.0,1019.0,194.0,235.0,8297,790.0,2890,13236,49
钻井人员,11442,27.0,37.0,298.0,61.0,79.0,5250,287.0,864,4539,48
石油、天然气开采人员,22326,31.0,28.0,206.0,106.0,143.0,14746,425.0,1400,5241,45
盐业生产人员,5176,30.0,7.0,170.0,107.0,38.0,2202,223.0,485,1914,47
其他勘测及矿物开采人员,9478,17.0,38.0,328.0,113.0,90.0,3198,331.0,1308,4055,48
金属冶炼、轧制人员,256463,497.0,726.0,5977.0,1697.0,1869.0,84268,8221.0,39109,114099,49
炼铁人员,33718,85.0,104.0,779.0,227.0,302.0,11580,1063.0,4527,15051,48
炼钢人员,54155,99.0,110.0,949.0,291.0,359.0,22160,1567.0,8422,20198,48
铁合金冶炼人员,11324,17.0,35.0,265.0,78.0,95.0,3558,398.0,1636,5242,49
重有色金属冶炼人员,10515,20.0,25.0,284.0,85.0,72.0,4278,328.0,1653,3770,47
轻有色金属冶炼人员,14944,17.0,32.0,377.0,100.0,147.0,5501,462.0,2283,6025,48
稀贵金属冶炼人员,3615,10.0,15.0,97.0,40.0,25.0,1380,100.0,609,1339,47
半导体材料制备人员,2602,4.0,3.0,37.0,13.0,24.0,1051,58.0,458,954,48
金属轧制人员,80491,139.0,275.0,1917.0,524.0,514.0,21195,2781.0,12849,40297,50
铸铁管人员,10946,12.0,26.0,261.0,57.0,68.0,3523,347.0,1561,5091,49
炭素制品生产人员,6774,15.0,22.0,211.0,69.0,52.0,2044,266.0,922,3173,49
硬质合金生产人员,5154,9.0,19.0,203.0,48.0,48.0,1545,190.0,738,2354,49
其他金属冶炼、轧制人员,22225,70.0,60.0,597.0,165.0,163.0,6453,661.0,3451,10605,49
化工产品生产人员,179977,314.0,465.0,4623.0,1608.0,1557.0,70837,6440.0,27499,66634,47
化工产品生产通用工艺人员,34337,47.0,71.0,688.0,328.0,281.0,14206,1140.0,5607,11969,47
石油炼制生产人员,11108,26.0,8.0,185.0,257.0,101.0,6950,277.0,1228,2076,44
煤化工生产人员,17217,32.0,59.0,600.0,111.0,144.0,5703,592.0,2652,7324,48
化学肥料生产人员,22378,46.0,79.0,494.0,150.0,193.0,9742,845.0,3385,7444,46
无机化工产品生产人员,8728,12.0,10.0,145.0,53.0,61.0,4087,199.0,1304,2857,47
基本有机化工产品生产人员,2644,2.0,3.0,33.0,20.0,26.0,1284,80.0,418,778,46
合成树脂生产人员,4714,7.0,12.0,89.0,46.0,36.0,1791,173.0,754,1806,48
合成橡胶生产人员,7716,13.0,14.0,149.0,60.0,54.0,2647,354.0,1205,3220,49
化学纤维生产人员,10362,9.0,9.0,144.0,33.0,51.0,4136,294.0,1733,3953,48
合成革生产人员,6320,17.0,35.0,233.0,56.0,52.0,1467,195.0,747,3518,54
精细化工产品生产人员,13494,18.0,43.0,362.0,111.0,119.0,4137,476.0,2518,5710,49
信息记录材料生产人员,2465,13.0,26.0,128.0,20.0,14.0,915,113.0,253,983,47
火药、炸药制造人员,9921,24.0,33.0,575.0,123.0,220.0,3267,679.0,1053,3947,47
林产化工产品生产人员,1691,3.0,6.0,118.0,39.0,19.0,461,62.0,206,777,48
复合材料加工人员,3900,3.0,4.0,75.0,22.0,18.0,1306,115.0,683,1674,49
日用化学品生产人员,11255,12.0,26.0,295.0,81.0,78.0,4283,456.0,2009,4015,47
其他化工产品生产人员,11727,30.0,27.0,310.0,98.0,90.0,4455,390.0,1744,4583,48
机械制造加工人员,820548,1131.0,1942.0,15903.0,4417.0,4598.0,232873,25491.0,158200,375993,50
机械冷加工人员,345629,447.0,962.0,7077.0,1851.0,1799.0,100517,10268.0,70156,152552,49
机械热加工人员,290796,411.0,677.0,5848.0,1555.0,1860.0,77916,9152.0,51748,141629,50
特种加工设备操作人员,14933,32.0,36.0,234.0,64.0,62.0,5114,436.0,2988,5967,48
冷作钣金加工人员,19717,27.0,27.0,251.0,88.0,83.0,6110,639.0,3906,8586,49
工件表面处理加工人员,49367,69.0,51.0,672.0,221.0,258.0,11946,1613.0,9921,24616,51
磨料磨具制造加工人员,37302,58.0,57.0,705.0,183.0,168.0,9667,1234.0,7754,17476,50
航天器件加工成型人员,1484,,1.0,24.0,66.0,6.0,792,36.0,186,373,45
其他机械制造加工人员,61320,87.0,131.0,1092.0,389.0,362.0,20811,2113.0,11541,24794,49
机电产品装配人员,485884,580.0,967.0,8214.0,2463.0,2526.0,152553,16550.0,101629,200402,49
基础件、部件装配人员,61785,64.0,118.0,1011.0,298.0,307.0,20176,1995.0,13369,24447,49
机械设备装配人员,70971,66.0,81.0,793.0,301.0,360.0,27560,2197.0,14931,24682,48
动力设备装配人员,14107,14.0,20.0,169.0,82.0,56.0,5357,416.0,3000,4993,48
电气元件及设备装配人员,46299,80.0,111.0,834.0,221.0,251.0,14612,1527.0,10123,18540,49
电子专用设备装配调试人员,17964,26.0,24.0,318.0,100.0,128.0,6605,755.0,3443,6565,48
仪器仪表装配人员,16903,21.0,24.0,226.0,101.0,99.0,6915,514.0,3167,5836,48
运输车辆装配人员,51107,79.0,140.0,1131.0,296.0,277.0,18484,1568.0,9959,19173,48
膜法水处理设备制造人员,487,,,19.0,1.0,,165,11.0,74,217,49
医疗器械装配及假肢与矫形器制作人员,4252,5.0,13.0,69.0,28.0,24.0,1806,127.0,841,1339,47
日用机械电器制造装配人员,46527,43.0,78.0,583.0,166.0,172.0,11999,1610.0,10859,21017,50
五金制品制作、装配人员,120127,129.0,293.0,2476.0,685.0,671.0,25848,4616.0,25535,59874,51
装甲车辆装试人员,509,4.0,5.0,19.0,4.0,11.0,176,18.0,98,174,46
枪炮制造人员,457,1.0,,7.0,1.0,,226,70.0,53,99,45
弹制造人员,394,,1.0,5.0,2.0,1.0,245,12.0,49,79,44
引信加工制造人员,119,,1.0,4.0,1.0,,59,3.0,21,30,45
火工品制造人员,2153,3.0,7.0,100.0,40.0,27.0,914,114.0,188,760,46
防化器材制造人员,281,1.0,1.0,5.0,,1.0,99,15.0,48,111,48
船舶制造人员,21915,25.0,32.0,300.0,86.0,90.0,7740,629.0,4144,8869,49
航空产品装配与调试人员,1695,9.0,2.0,17.0,11.0,11.0,1150,58.0,203,234,43
航空产品试验人员,287,1.0,,4.0,1.0,3.0,181,13.0,33,51,43
导弹卫星装配测试人员,134,1.0,,2.0,1.0,2.0,70,3.0,21,34,45
火箭发动机装配试验人员,43,,,,,1.0,21,,6,15,48
航天器结构强度、温度、环境试验人员,114,,,2.0,,,86,6.0,10,10,42
靶场试验人员,53,,2.0,1.0,,1.0,26,2.0,7,14,44
其他机电产品装配人员,7201,8.0,14.0,119.0,37.0,33.0,2033,271.0,1447,3239,50
机械设备修理人员,461199,900.0,1504.0,12146.0,3815.0,3272.0,149228,15543.0,66357,208434,49
机械设备维修人员,421829,808.0,1386.0,11078.0,3436.0,3000.0,133451,14275.0,61117,193278,49
仪器仪表修理人员,8563,23.0,17.0,154.0,102.0,65.0,4502,262.0,1151,2287,45
民用航空器维修人员,2617,5.0,3.0,34.0,21.0,26.0,1705,55.0,318,450,44
其他机械设备修理人员,28190,64.0,98.0,880.0,256.0,181.0,9570,951.0,3771,12419,49
电力设备安装、运行、检修及供电人员,410678,749.0,991.0,9938.0,5217.0,3303.0,188586,12717.0,53721,135456,46
电力设备安装人员,53614,96.0,129.0,1421.0,588.0,441.0,21555,1849.0,6925,20610,47
发电运行值班人员,21632,43.0,38.0,673.0,467.0,329.0,12330,787.0,2208,4757,44
输电、配电、变电设备值班人员,11269,22.0,15.0,233.0,188.0,103.0,6775,293.0,1203,2437,44
电力设备检修人员,72161,129.0,140.0,1386.0,1089.0,511.0,37506,1875.0,8928,20597,46
供用电人员,55628,120.0,148.0,1429.0,947.0,472.0,29135,1460.0,5693,16224,45
生活、生产电力设备安装、操作、修理人员,177024,302.0,465.0,4332.0,1646.0,1269.0,72265,5838.0,26250,64657,47
其他电力设备安装、运行、检修及供电人员,19350,37.0,56.0,464.0,292.0,178.0,9020,615.0,2514,6174,46
电子元器件与设备制造、装配、调试及维修人员,360012,603.0,743.0,7514.0,1855.0,2170.0,116816,14833.0,75248,140230,49
电子器件制造人员,113780,214.0,217.0,2034.0,565.0,656.0,36714,4745.0,23268,45367,49
电子元件制造人员,105942,191.0,198.0,1842.0,511.0,705.0,32711,4655.0,23249,41880,49
电池制造人员,13810,11.0,46.0,243.0,55.0,97.0,4158,571.0,3041,5588,49
电子设备装配、调试人员,59599,59.0,80.0,1683.0,225.0,283.0,21202,2294.0,13816,19957,48
电子产品维修人员,34176,79.0,124.0,1043.0,320.0,257.0,11703,1326.0,5236,14088,48
其他电子元器件与设备制造、装配、调试及维修人员,32705,49.0,78.0,669.0,179.0,172.0,10328,1242.0,6638,13350,49
橡胶和塑料制品生产人员,149359,240.0,356.0,3110.0,806.0,848.0,36690,5029.0,29884,72396,51
橡胶制品生产人员,37962,85.0,104.0,877.0,178.0,223.0,10296,1171.0,7426,17602,50
塑料制品加工人员,95235,136.0,223.0,1905.0,535.0,511.0,22285,3339.0,19656,46645,51
